"value","lang","property","count","alternative_label","alternative_lang"
photography,en,hasAppliedMethod,2929,,
scanning,,hasAppliedMethod,2825,,
3D scanning,,hasAppliedMethod,1756,,
photography,,hasAppliedMethod,1138,,
Photography.,en,hasAppliedMethod,906,,
"data management, data curation",en,hasAppliedMethod,12,,
"Archaeological excavation, pottery documentation, photography.",en,hasAppliedMethod,9,,
lemmatization,,hasAppliedMethod,7,,
part-of-speech-tagging,,hasAppliedMethod,7,,
tokenization,,hasAppliedMethod,7,,
"VOICE, the Vienna-Oxford International Corpus of English, is a one-million-word corpus of naturally-occurring, non-scripted, face-to-face interactions carried out using English as a lingua franca (ELF), i.e. English used as a common means of communication among speakers from different first-language backgrounds. The interactions recorded and transcribed are complete speech events from different domains (educational, leisure, professional) and represent different speech event types (conversation, interview, meeting, panel, press conference, question-answer session, seminar discussion, service encounter, working group discussion, workshop discussion).",en,hasAppliedMethod,7,,
XML/TEI (P5),,hasAppliedMethod,7,,
OCR,,hasAppliedMethod,6,,
"pottery documentation, inked drawings",en,hasAppliedMethod,6,,
TEI schema customization,,hasAppliedMethod,6,,
XML/TEI structural and semantic annotation,,hasAppliedMethod,6,,
"archaeological excavation, pottery documentation, photography",en,hasAppliedMethod,5,,
CT-scans,,hasAppliedMethod,3,,
index file creation,,hasAppliedMethod,3,,
Petrographic analysis.,en,hasAppliedMethod,3,,
Photogrammetrie,,hasAppliedMethod,3,,
structure from motion,,hasAppliedMethod,3,,
Airborne Laserscan,,hasAppliedMethod,2,,
Bauaufnahme,,hasAppliedMethod,2,,
Fernerkundung,,hasAppliedMethod,2,,
Luftbild,,hasAppliedMethod,2,,
Pottery documentation.,en,hasAppliedMethod,2,,
SKOS Simple Knowledge Organization System,,hasAppliedMethod,2,,
Survey,,hasAppliedMethod,2,,
3D-Dokumentation,,hasAppliedMethod,1,,
3D-Modellierung,,hasAppliedMethod,1,,
3D scanning,en,hasAppliedMethod,1,,
archaeological excavation,en,hasAppliedMethod,1,,
Archäometrie,,hasAppliedMethod,1,,
borehole sampling,en,hasAppliedMethod,1,,
CT-scans,en,hasAppliedMethod,1,,
geological survey,en,hasAppliedMethod,1,,
Geomagnetik,,hasAppliedMethod,1,,
geomorphological survey,en,hasAppliedMethod,1,,
Geophysik,,hasAppliedMethod,1,,
Georadar,,hasAppliedMethod,1,,
"image creation (scanning, photography)",,hasAppliedMethod,1,,
Karten,,hasAppliedMethod,1,,
Laser Scanning,,hasAppliedMethod,1,,
Oberflächensurvey,,hasAppliedMethod,1,,
"OCR, XML/TEI structural and semantic annotation",,hasAppliedMethod,1,,
Part of Speech Tagging,,hasAppliedMethod,1,,
photography in public,en,hasAppliedMethod,1,,
"pottery documentation, inked drawings",,hasAppliedMethod,1,,
remote sensing,en,hasAppliedMethod,1,,
Satellitenbild,,hasAppliedMethod,1,,
sediment analysis,en,hasAppliedMethod,1,,
SKOS data modelling,,hasAppliedMethod,1,,
structure from motion,en,hasAppliedMethod,1,,
Structure from Motion (SfM),,hasAppliedMethod,1,,
surface survey,en,hasAppliedMethod,1,,
Terrestrischer Laserscan,,hasAppliedMethod,1,,
Terrestrisches Laserscanning (TLS),,hasAppliedMethod,1,,
textual annotation,en,hasAppliedMethod,1,,
topographical survey,en,hasAppliedMethod,1,,
Vermessung,,hasAppliedMethod,1,,
Virtuelle Rekonstruktion,,hasAppliedMethod,1,,
XML/TEI (P5) encoding,,hasAppliedMethod,1,,
X-ray,,hasAppliedMethod,1,,
Image,en,hasCategory,63141,Bild,de
XML/TEI,en,hasCategory,30007,XML/TEI,de
GeoJSON Dataset,en,hasCategory,2530,GeoJSON-Datenset,de
3d data,en,hasCategory,1321,3D-Daten,de
Dataset,en,hasCategory,947,Datenset,de
Text,en,hasCategory,284,Text,de
Model,en,hasCategory,215,Modell,de
Collection,en,hasCategory,163,Datensammlung,de
Tabular Dataset,en,hasCategory,114,Tabellarisches Datenset,de
Speech,en,hasCategory,24,Rede,de
Other,en,hasCategory,6,Andere,de
Corpus,en,hasCategory,4,Korpus,de
Audio Visual,en,hasCategory,3,Audiovisuelles Medium,de
Lexical Resource,en,hasCategory,3,Lexikalische Ressource,de
