"value","lang","count"
pottery fragments,en,11805
Geschichte,de,2940
Grundbuch,de,2940
historic administrative units,en,2650
GIS,en,2649
Brief,de,2293
D.K.BRF,de,2293
Durchschlag,de,1581
Typoskript,de,1352
aerial warfare,en,959
Second world war,en,959
Zwischenkriegszeit,de,958
multilingualism,en,788
English as a lingua franca,en,787
interaction,en,787
interculturality,en,787
Druck,de,690
Landgericht,en,591
District Captaincy,en,590
pottery,"",359
Zeitungsartikel,de,354
D.P.ZTA,de,352
Bezirksamt,en,318
part-of-speech tagging,en,317
lemmatization,en,315
Mappe,de,296
D.J.MAP,de,292
Originalmappe,de,292
Manuskript,de,256
Kopie,de,223
Durchschlag mit handschriftlichen Überarbeitungen,de,208
Aktenvermerk,de,201
D.J.AKV,de,201
Durchschlag mit handschriftlichen Annotationen,de,185
Typoskript mit handschriftlichen Annotationen,de,184
Beschluss,de,182
D.J.BSS,de,182
County,en,177
Antrag,de,160
D.J.ANT,de,160
word tokenization,en,157
Typoskript mit handschriftlichen Überarbeitungen,de,155
Karl Kraus,de,141
S.F.KRA,de,141
C.S.PRI,de,135
Privatanklagedelikt,de,135
R.F.STR,de,134
Strafrecht,de,134
Buchgeschichte,de,126
Geschichte des Lesens,de,126
privater Buchbesitz,de,126
D.J.URT,de,109
Pensionierung,de,109
Urteil,de,109
Benachrichtigung,de,108
D.J.BEN,de,108
leisure conversation,en,105
D.J.PKL,de,100
Protokoll,de,100
D.J.PKG,de,95
Privatanklage,de,95
D.J.LAD,de,87
Ladung,de,87
D.J.STZ,de,84
Schriftsatz,de,84
Preßrechtsverstoß,de,81
T.F.PRE,de,81
Kingdom,en,79
D.K.RKS,de,78
Rückschein,de,78
Province,en,75
County (administrative unit),en,71
C.S.PRE,de,69
Pressedelikt,de,69
Pressrecht,de,69
R.F.PRE,de,69
amtsfreie Stadt,en,68
Typoskript mit handschirftlichen Überarbeitungen,de,67
professional organizational working group discussion,en,65
Verwaltung,de,65
Kreis,en,63
Governmental District,en,62
professional organizational meeting,en,60
Mitbestimmung,de,53
educational workshop discussion,en,50
R.F.SON,de,50
Sonstiger Rechtsbereich,de,50
D.J.ENW,de,49
Entwurf (jur.),de,49
Außergerichtliche Erledigung,de,48
E.F.AGE,de,48
Umschlag,de,48
Demokratisierung,de,46
D.J.UMS,de,44
D.K.PKT,de,44
Originalumschlag,de,44
Postkarte,de,44
D.J.VRS,de,43
Verständigung,de,43
Statutory City,en,42
D.K.EBS,de,41
Erhaltsbestätigung,de,41
D.J.KFS,de,40
Imperial Circle,en,40
Kostenfestsetzung,de,40
professional business meeting,en,40
professional organizational workshop discussion,en,40
Berichtigung (Ausgang),de,39
E.F.AEB,de,39
tschechoslowak. Staatsdienst,de,39
Berufungsausführung,de,37
D.J.BAF,de,37
D.J.MIT,de,37
Mitteilung,de,37
Ehrenbeleidigung,de,35
professional research/science conversation,en,35
T.F.EHR,de,35
Suburb,en,34
Duchy,en,33
Beschwerde,de,32
conversation,en,32
D.J.BSW,de,32
D.J.VRN,de,32
interview,en,32
meeting,en,32
panel,en,32
press conference,en,32
question-answer session,en,32
Repression,de,32
seminar discussion,en,32
service encounter,en,32
Vernehmung,de,32
working group discussion,en,32
workshop discussion,en,32
zwischenstaatliche Verhandlung,de,32
D.K.TGR,de,31
Telegramm,de,31
Ausgang unklar,de,30
educational seminar discussion,en,30
E.F.AUS,de,30
professional business service encounter,en,30
professional research/science interview,en,30
professional research/science panel,en,30
professional research/science question-answer session,en,30
D.J.UBR,de,29
Gericht,en,29
Übersetzung,de,29
D.J.BRG,de,28
D.J.KLG,de,28
E.F.VER,de,28
Klage,de,28
Verurteilung,de,28
Auftrag,de,27
D.J.AUF,de,27
D.J.ERK,de,26
D.J.NOT,de,26
D.J.SFE,de,26
Erklärung (jur.),de,26
Lohnforderung,de,26
Notiz,de,26
Personalvertretung,de,26
Ruhestand,de,26
Vorrückung,de,26
educational interview,en,25
educational service encounter,en,25
educational working group discussion,en,25
leisure interview,en,25
professional organizational press conference,en,25
Staatsbedienstetenorganisationen,de,25
Berichtigung (jur.),de,24
Empire,en,24
zwischenstaatliche Vereinbarung,de,24
Landeskommissariat,en,23
Bitte,de,22
D.J.BIT,de,22
Strafanzeige,de,22
Archivrecherchen,"",21
Beweisantrag,de,21
Byzantinische Burg,"",21
Canabae,"",21
"Die Stunde, Békessy",de,21
D.J.BWN,de,21
Forschungsgeschichte,"",21
Hügelgräber,"",21
Keramik,"",21
K.K.STU,de,21
Lagervorstadt,"",21
Legionslager,"",21
Munizipium,"",21
Nekropole,"",21
Siedlungstopographie,"",21
Streik,de,21
Surveyartefakte,"",21
Wasserversorgung,"",21
Beamtenorganisation,de,20
Druck mit handschriftlichen Annotationen,de,20
educational conversation,en,20
professional business panel,en,20
professional business question-answer session,en,20
deutschösterr. Regierung,de,19
K.P.SOZ,de,19
Sozialdemokratie,de,19
Berufungsanmeldung,de,18
Die Fackel,de,18
D.J.BAN,de,18
K.K.FAC,de,18
R.F.ZIV,de,18
T.F.URV,de,18
Urheberrechtsverletzung,de,18
Zivilrecht,de,18
Anklageschrift,de,17
D.J.AKS,de,17
Gewerkschaft,de,17
Beförderung,de,16
D.J.ERG,de,16
Ergänzung,de,16
Koalitionsfreiheit,de,16
Bescheid,de,15
Bestätigung,de,15
Bevollmächtiger,de,15
D.J.BSD,de,15
D.J.BST,de,15
professional organizational conversation,en,15
Äußerung,de,14
D.J.AUG,de,14
D.J.ERL,de,14
D.J.KOB,de,14
D.P.ZTG,de,14
E.F.FRE,de,14
E.F.VGL,de,14
Erlagschein,de,14
Freispruch,de,14
High-Bailiwick,en,14
Kostenaufstellung,de,14
Principality,en,14
Seat,en,14
Vergleich (Ausgang),de,14
Beleg (jur.),de,13
D.J.BEL,de,13
D.J.RNG,de,13
Ernennung,de,13
Griechenland,de,13
historical travel guides,en,13
Karl Baedeker,en,13
K.K.MED,de,13
Lesbos,de,13
Medienhistorisches,de,13
Rechnung,de,13
Berufung,de,12
C.Z.STR,de,12
Deckblatt,de,12
D.J.BRF,de,12
D.J.DKB,de,12
D.J.VOL,de,12
D.J.VRZ,de,12
educational,en,12
Grand Duchy,en,12
K.K.THE,de,12
leisure,en,12
professional business,en,12
professional organizational,en,12
professional research and science,en,12
Sonstiger Materialitätstyp,de,12
Streitige Zivilrechtssache,de,12
Theater,de,12
Verzeichnis,de,12
Vollmacht,de,12
Ausbildung,de,11
Bundesländer,de,11
D.J.ZAS,de,11
Föderalismus,de,11
Fotografien,de,11
Intertextualität,de,11
Kündigung,de,11
Literaturwissenschaft,de,11
Medienwissenschaft,de,11
Personalkommission,de,11
Rechtsgeschichte,de,11
Zeugenaussage,de,11
Abhandlung,de,10
Bericht,de,10
Betriebsrat,de,10
Burgfrieden,en,10
D.J.ABH,de,10
D.J.BER,de,10
D.J.KON,de,10
D.J.KSB,de,10
D.J.ZAT,de,10
D.J.ZUN,de,10
E.F.NIC,de,10
Friedensverhandlungen,de,10
Kassabestätigung,de,10
K.K.LIT,de,10
K.K.SCH,de,10
Konzept (jur.),de,10
Literarische Berichtigung,de,10
Nicht verfolgt,de,10
"Schober, 15. Juli 1927",de,10
Staatsangestelltenkammer,de,10
Ungleichbehandlung,de,10
Zahlungsauftrag,de,10
Zurücknahme,de,10
"Berliner Tageblatt, Kerr, Wolff",de,9
