"id","value","qualification","property","lang","notes_lang","variants","singular form"
001,photography,,hasAppliedMethod,en,,,
002,scanning,,hasAppliedMethod,en,,,
003,3D scanning,,hasAppliedMethod,en,,,
004,photography,,hasAppliedMethod,en,,,
005,photography,,hasAppliedMethod,en,,,
006,data management,,hasAppliedMethod,en,,,
006,data curation,,hasAppliedMethod,en,,,
007,archaeological excavation,,hasAppliedMethod,en,,,
007,pottery documentation,,hasAppliedMethod,en,,,
007,photography,,hasAppliedMethod,en,,,
008,lemmatization,,hasAppliedMethod,en,,,
009,part-of-speech tagging,,hasAppliedMethod,en,,,
010,tokenization,,hasAppliedMethod,en,,,
012,XML/TEI (P5),,hasAppliedMethod,en,abbreviation,,
013,OCR,,hasAppliedMethod,en,abbreviation,optical character recognition,
014,pottery documentation,,hasAppliedMethod,en,,,
014,inked drawings,,hasAppliedMethod,en,,,inked drawing
015,TEI schema customization,,hasAppliedMethod,en,,,
016,XML/TEI structural and semantic annotation,,hasAppliedMethod,en,,,
017,archaeological excavation,,hasAppliedMethod,en,,,
017,pottery documentation,,hasAppliedMethod,en,,,
017,photography,,hasAppliedMethod,en,,,
018,CT scans,,hasAppliedMethod,en,,,CT scan
019,index file creation,,hasAppliedMethod,en,,,
020,petrographic analysis,,hasAppliedMethod,en,,,
021,Photogrammetrie,,hasAppliedMethod,de,,,
022,structure from motion,,hasAppliedMethod,en,,,
023,Airborne Laserscanning,,hasAppliedMethod,de,,,
024,Bauaufnahme,,hasAppliedMethod,de,,,
025,Fernerkundung,,hasAppliedMethod,de,,,
026,Luftbild,,hasAppliedMethod,de,,,
027,pottery documentation,,hasAppliedMethod,en,,,
028,SKOS,,hasAppliedMethod,en,abbreviation,Simple Knowledge Organization System,
029,Survey,,hasAppliedMethod,de,,,
030,3D-Dokumentation,,hasAppliedMethod,de,,,
031,3D-Modellierung,,hasAppliedMethod,de,,,
032,3D scanning,,hasAppliedMethod,en,,,
033,archaeological excavation,,hasAppliedMethod,en,,,
034,Archäometrie,,hasAppliedMethod,de,,,
035,borehole sampling,,hasAppliedMethod,en,,,
036,CT scans,,hasAppliedMethod,en,,,CT scan
037,geological survey,,hasAppliedMethod,en,,,
038,Geomagnetik,,hasAppliedMethod,de,,,
039,geomorphological survey,,hasAppliedMethod,en,,,
040,Geophysik,,hasAppliedMethod,de,,,
041,Georadar,,hasAppliedMethod,de,,,
042,image creation,,hasAppliedMethod,en,,,
042,scanning,,hasAppliedMethod,en,,,
042,photography,,hasAppliedMethod,en,,,
043,Karten,,hasAppliedMethod,de,,,Karte
044,laser scanning,,hasAppliedMethod,en,,,
045,Oberflächensurvey,,hasAppliedMethod,de,,,
046,OCR,,hasAppliedMethod,en,abbreviation,,
046,XML/TEI structural and semantic annotation,,hasAppliedMethod,en,,,
047,part-of-speech tagging,,hasAppliedMethod,en,,,
048,photography in public,,hasAppliedMethod,en,,,
049,pottery documentation,,hasAppliedMethod,en,,,
049,inked drawings,,hasAppliedMethod,en,,,inked drawing
050,remote sensing,,hasAppliedMethod,en,,,
051,Satellitenbild,,hasAppliedMethod,de,,,
052,sediment analysis,,hasAppliedMethod,en,,,
053,SKOS data modelling,,hasAppliedMethod,en,,,
054,structure from motion,,hasAppliedMethod,en,,,
055,SfM,,hasAppliedMethod,en,abbreviation,structure from motion,
056,surface survey,,hasAppliedMethod,en,,,
057,terrestrischer Laserscan,,hasAppliedMethod,de,,,
058,TLS,,hasAppliedMethod,und,abbreviation,terrestrisches Laserscanning,
059,textual annotation,,hasAppliedMethod,en,,,
060,topographical survey,,hasAppliedMethod,en,,,
061,Vermessung,,hasAppliedMethod,de,,,
062,virtuelle Rekonstruktion,,hasAppliedMethod,de,,,
063,XML/TEI (P5) encoding,,hasAppliedMethod,en,,,
064,X-ray,,hasAppliedMethod,en,,,
065,image,,hasCategory,en,,,
065,Bild,,hasCategory,de,,,
066,XML/TEI,,hasCategory,en,abbreviation,,
067,GeoJSON dataset,,hasCategory,en,,,
067,GeoJSON-Datenset,,hasCategory,de,,,
068,3D data,,hasCategory,en,,,
068,3D-Daten,,hasCategory,de,,,
069,dataset,,hasCategory,en,,,
069,Datenset,,hasCategory,de,,,
070,text,,hasCategory,en,,,
070,Text,,hasCategory,de,,,
071,model,,hasCategory,en,,,
071,Modell,,hasCategory,de,,,
072,collection,,hasCategory,en,,,
072,Datensammlung,,hasCategory,de,,,
073,tabular dataset,,hasCategory,en,,,
073,tabellarisches Datenset,,hasCategory,de,,,
074,speech,,hasCategory,en,,,
074,Rede,,hasCategory,de,,,
075,other,,hasCategory,en,,,
075,Andere,,hasCategory,de,,,
076,corpus,,hasCategory,en,,,
076,Korpus,,hasCategory,de,,,
077,audio visual,,hasCategory,en,,,
077,audiovisuelles Medium,,hasCategory,de,,,
078,lexical resource,,hasCategory,en,,,
078,lexikalische Ressource,,hasCategory,de,,,
079,controlled vocabulary,,hasCategory,en,,,
079,kontrolliertes Vokabular,,hasCategory,de,,,
080,pottery fragments,,hasSubject,en,,,pottery fragment
081,Geschichte,,hasSubject,de,,,
082,Grundbuch,,hasSubject,de,,,
083,historic administrative units,,hasSubject,en,,,historic administrative unit
084,GIS,,hasSubject,und,abbreviation,"Geoinformationssysteme, Geographische Informationssysteme, geographic information system",
085,Brief,,hasSubject,de,,,
086,D.K.BRF,,hasSubject,und,DAACDA,,
087,Durchschlag,,hasSubject,de,,,
088,Typoskript,,hasSubject,de,,,
089,aerial warfare,,hasSubject,en,,,
090,Second world war,,hasSubject,en,,"Second World War, World War II",
091,Zwischenkriegszeit,,hasSubject,de,,,
092,multilingualism,,hasSubject,en,,,
093,English as a lingua franca,,hasSubject,en,,,
094,interaction,,hasSubject,en,,,
095,interculturality,,hasSubject,en,,,
096,Druck,,hasSubject,de,,,
097,Landgericht,,hasSubject,de,,,
098,district captaincy,,hasSubject,en,,,
099,pottery,,hasSubject,en,,,
100,Zeitungsartikel,,hasSubject,de,,,
101,D.P.ZTA,,hasSubject,und,DAACDA,,
102,Bezirksamt,,hasSubject,de,,,
103,part-of-speech tagging,,hasSubject,en,,,
104,lemmatisation,,hasSubject,en,,lemmatization,
105,Mappe,,hasSubject,de,,,
106,D.J.MAP,,hasSubject,und,DAACDA,,
107,Originalmappe,,hasSubject,de,,,
108,Manuskript,,hasSubject,de,,,
109,Kopie,,hasSubject,de,,,
110,Durchschlag mit handschriftlichen Überarbeitungen,,hasSubject,de,,,
111,Aktenvermerk,,hasSubject,de,,,
112,D.J.AKV,,hasSubject,und,DAACDA,,
113,Durchschlag mit handschriftlichen Annotationen,,hasSubject,de,,,
114,Typoskript mit handschriftlichen Annotationen,,hasSubject,de,,,
115,Beschluss,,hasSubject,de,,,
116,D.J.BSS,,hasSubject,und,DAACDA,,
117,county,,hasSubject,en,,,
118,Antrag,,hasSubject,de,,,
119,D.J.ANT,,hasSubject,und,DAACDA,,
120,word tokenisation,,hasSubject,en,,word tokenization,
121,Typoskript mit handschriftlichen Überarbeitungen,,hasSubject,de,,,
122,Karl Kraus,,hasSubject,und,proper name,,
123,S.F.KRA,,hasSubject,und,DAACDA,,
124,C.S.PRI,,hasSubject,und,DAACDA,,
125,Privatanklagedelikt,,hasSubject,de,,,
126,R.F.STR,,hasSubject,und,DAACDA,,
127,Strafrecht,,hasSubject,de,,,
128,Buchgeschichte,,hasSubject,de,,,
129,Geschichte des Lesens,,hasSubject,de,,,
130,privater Buchbesitz,,hasSubject,de,,,
131,D.J.URT,,hasSubject,und,DAACDA,,
132,Pensionierung,,hasSubject,de,,,
133,Urteil,,hasSubject,de,,,
134,Benachrichtigung,,hasSubject,de,,,
135,D.J.BEN,,hasSubject,und,DAACDA,,
136,leisure conversation,,hasSubject,en,,,
137,D.J.PKL,,hasSubject,und,DAACDA,,
138,Protokoll,,hasSubject,de,,,
139,D.J.PKG,,hasSubject,und,DAACDA,,
140,Privatanklage,,hasSubject,de,,,
141,D.J.LAD,,hasSubject,und,DAACDA,,
142,Ladung,,hasSubject,de,,,
143,D.J.STZ,,hasSubject,und,DAACDA,,
144,Schriftsatz,,hasSubject,de,,,
145,Presserechtsverstoß,,hasSubject,de,,,
146,T.F.PRE,,hasSubject,und,DAACDA,,
147,kingdom,,hasSubject,en,,,
148,D.K.RKS,,hasSubject,und,DAACDA,,
149,Rückschein,,hasSubject,de,,,
150,province,,hasSubject,en,,,
151,county,administrative unit,hasSubject,en,,,
152,C.S.PRE,,hasSubject,und,DAACDA,,
153,Pressedelikt,,hasSubject,de,,,
154,Presserecht,,hasSubject,de,,,
155,R.F.PRE,,hasSubject,und,DAACDA,,
156,amtsfreie Stadt,,hasSubject,de,,,
157,Typoskript mit handschriftlichen Überarbeitungen,,hasSubject,de,,,
158,professional organizational working group discussion,,hasSubject,en,,,
159,Verwaltung,,hasSubject,de,,,
160,Kreis,,hasSubject,de,,,
161,governmental district,,hasSubject,en,,,
162,professional organizational meeting,,hasSubject,en,,,
163,Mitbestimmung,,hasSubject,de,,,
164,educational workshop discussion,,hasSubject,en,,,
165,R.F.SON,,hasSubject,und,DAACDA,,
166,sonstiger Rechtsbereich,,hasSubject,de,,,
167,D.J.ENW,,hasSubject,und,DAACDA,,
168,Entwurf,jur.,hasSubject,de,,,
169,Außergerichtliche Erledigung,,hasSubject,de,,,
170,E.F.AGE,,hasSubject,und,DAACDA,,
171,Umschlag,,hasSubject,de,,,
172,Demokratisierung,,hasSubject,de,,,
173,D.J.UMS,,hasSubject,und,DAACDA,,
174,D.K.PKT,,hasSubject,und,DAACDA,,
175,Originalumschlag,,hasSubject,de,,,
176,Postkarte,,hasSubject,de,,,
177,D.J.VRS,,hasSubject,und,DAACDA,,
178,Verständigung,,hasSubject,de,,,
179,statutory city,,hasSubject,en,,,
180,D.K.EBS,,hasSubject,und,DAACDA,,
181,Erhaltsbestätigung,,hasSubject,de,,,
182,D.J.KFS,,hasSubject,und,DAACDA,,
183,imperial circle,,hasSubject,en,,Imperial Circle,
184,Kostenfestsetzung,,hasSubject,de,,,
185,professional business meeting,,hasSubject,en,,,
186,professional organizational workshop discussion,,hasSubject,en,,,
187,Berichtigung,Ausgang,hasSubject,de,,,
188,E.F.AEB,,hasSubject,und,DAACDA,,
189,tschechoslowakischer Staatsdienst,,hasSubject,de,,,
190,Berufungsausführung,,hasSubject,de,,,
191,D.J.BAF,,hasSubject,und,DAACDA,,
192,D.J.MIT,,hasSubject,und,DAACDA,,
193,Mitteilung,,hasSubject,de,,,
194,Ehrenbeleidigung,,hasSubject,de,,,
195,professional research conversation,,hasSubject,en,,professional science conversation,
196,T.F.EHR,,hasSubject,und,DAACDA,,
197,suburb,,hasSubject,en,,,
198,duchy,,hasSubject,en,,,
199,Beschwerde,,hasSubject,de,,,
200,conversation,,hasSubject,en,,,
201,D.J.BSW,,hasSubject,und,DAACDA,,
