"id","value","qualification","property","lang","notes_lang","variants","singular form"
001,15. Juli 1927,,hasSubject,de,,,
002,18. Jahrhundert,,hasSubject,de,,achtzehntes Jahrhundert,
003,25er Ausschuss,,hasSubject,de,,"fünfundzwanziger Ausschuss, 25er-Ausschuss, fünfundzwanziger-Ausschuss",
004,3D data,,hasCategory,en,,,
005,3D models,,hasSubject,en,,,3D model
006,3D scanning,,hasAppliedMethod,en,,,
007,3D-Daten,,hasCategory,de,,,
008,3D-Dokumentation,,hasAppliedMethod,de,,,
009,3D-Modellierung,,hasAppliedMethod,de,,,
010,Abfertigung,,hasSubject,de,,,
011,Abhandlung,,hasSubject,de,,,
012,Ablehnung,,hasSubject,de,,,
013,Abrechnung,,hasSubject,de,,,
014,Abschrift,lit.,hasSubject,de,,,
015,Abweisung,,hasSubject,de,,,
016,aerial warfare,,hasSubject,en,,,
017,Airborne Laserscanning,,hasAppliedMethod,de,,,
018,Akt,,hasSubject,de,,,
019,Aktennotiz,,hasSubject,de,,,
020,Aktenübersicht,,hasSubject,de,,,
021,Aktenvermerk,,hasSubject,de,,,
022,Alfred Kerr,,hasSubject,und,proper name,,
023,amtsfreie Stadt,,hasSubject,de,,,
024,Andere,,hasCategory,de,,,
025,Änderung,,hasSubject,de,,,
026,Anfrage,,hasSubject,de,,,
027,Anklage,,hasSubject,de,,,
028,Anklage-Kundmachung,,hasSubject,de,,,
029,Anklageschrift,,hasSubject,de,,,
030,Ansuchen,,hasSubject,de,,,
031,Antrag,,hasSubject,de,,,
032,Anweisung,,hasSubject,de,,,
033,Anzeige,,hasSubject,de,,,
034,Arabic linguistics,,hasSubject,en,,,
035,Arbeiterrätin,,hasSubject,de,,,
036,archaeological database,,hasSubject,en,,,
037,archaeological excavation,,hasAppliedMethod,en,,,
038,archaeological sites,,hasSubject,en,,,archaeological site
039,Archäometrie,,hasAppliedMethod,de,,,
040,archduchy,,hasSubject,en,,,
041,Archivrecherchen,,hasSubject,de,,,Archivrecherche
042,artefact,,hasSubject,en,,,
043,audio visual,,hasCategory,en,,,
044,audiovisuelles Medium,,hasCategory,de,,,
045,Aufforderung,,hasSubject,de,,,
046,Aufgabeabschnitt,,hasSubject,de,,,
047,Aufgabeschein,,hasSubject,de,,,
048,Auflösung des Vertrags,,hasSubject,de,,,
049,Aufruf,,hasSubject,de,,,
050,Aufstellung,,hasSubject,de,,,
051,Auftrag,,hasSubject,de,,,
052,Ausbildung,,hasSubject,de,,,
053,Ausbleiben der Rückzahlung,,hasSubject,de,,,
054,Ausgang unklar,,hasSubject,de,,,
055,Ausschuss,,hasSubject,de,,,
056,Außergerichtliche Erledigung,,hasSubject,de,,,
057,Äußerung,,hasSubject,de,,,
058,Austrian magazines,,hasSubject,en,,,Austrian magazine
059,Austrian media landscape,,hasSubject,en,,,
060,Austrian newspapers,,hasSubject,en,,,Austrian newspaper
061,Austrian Press Agency,,hasSubject,en,,,
062,Austrian press releases,,hasSubject,en,,,Austrian press release
063,Auszug,,hasSubject,de,,,
064,Autonomie,,hasSubject,de,,,
065,Bauaufnahme,,"hasAppliedMethod, hasSubject",de,,,
066,Beamtenorganisation,,hasSubject,de,,,
067,Beamtenrat,,hasSubject,de,,,
068,Beförderung,,hasSubject,de,,,
069,Beförderungsdienstfrist,,hasSubject,de,,,
070,Bekanntgabe,,hasSubject,de,,,
071,Beleg,jur.,hasSubject,de,,,
072,Beleidigung,,hasSubject,de,,,
073,Benachrichtigung,,hasSubject,de,,,
074,Bericht,,hasSubject,de,,,
075,Berichtigung,Ausgang,hasSubject,de,,,
076,Berichtigung,jur.,hasSubject,de,,,
077,Berichtigung,,hasSubject,de,,,
078,Berliner Tageblatt,,hasSubject,de,,,
079,Berufung,,hasSubject,de,,,
