value,value_correct,lang,lang_correct,lang_correct_comments,property,count,id,singular_form,main_part,qualifier,main_label,variants,swap_order,2022-07-15: Nichtbeachtung weil,2022-07-15: Anmerkung,2022-07-15: Klassifizierung,2022-07-15: Comments by Seta,2022-09-15: Category,2022-09-15: Action,2022-09-15: Note DS,2022-09-23: Nichtbeachtung weil,2022-09-23: Anmerkung,2022-09-23 hasSubject_ARCHAEOLOGY: include?,2022-09-23 hasSubject_ARCHAEOLOGY: notes,2022-09-29: ARCHEgroup,2022-09-29: inARCHEmappedAs,2022-09-29: skos:match,2022-09-29: Vocabulary,2022-09-29: Notes,2022-09-29_xlsx: ARCHEgroup,2022-09-29_xlsx: skos:match,2022-09-29_xlsx: Vocabulary,2022-09-29_xlsx: Notes
15. Juli 1927,,de,,,hasSubject,10,,,,,,,,,,,,,,,,,,,"zu speziell/nicht wiederverwendbar (Schober, 15. Juli 1927)",,,,,"zu speziell/nicht wiederverwendbar (Schober, 15. Juli 1927)",,,
18. Jahrhundert,,de,,,hasSubject,7,,,,,,,,Periode/Phase,,,,,,,Periode/Phase,,,,Periode/Phase,,,,,Periode/Phase,,,
25er-Ausschuss; Fünfundzwanziger-Ausschuss,,de,,,hasSubject,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
3d data,,en,,,hasCategory,1324,48520,,,,,,,,,,,,,,,,,,,,skos:exactMatch,https://vocabs.acdh.oeaw.ac.at/archecategory/3dData,,,skos:exactMatch,https://vocabs.acdh.oeaw.ac.at/archecategory/3dData,
3D models,,,en,,hasSubject,1,,3D model,,,,,,,,,,,,,,,,,,,,,,,,,
3D scanning,,,en,,hasAppliedMethod,1756,,,,,,,,,,,,,,,,,,,,,,,,,,,
3D scanning,,en,,,hasAppliedMethod,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
3D-Daten,,de,,,hasCategory,1324,48520,,,,,,,,,,,,,,,,,,,,,,,,,,
3D-Dokumentation,,,de,,hasAppliedMethod,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
3D-Modellierung,,,de,,hasAppliedMethod,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abfertigung,,de,,,hasSubject,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abhandlung,,de,,,hasSubject,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ablehnung,,de,,,hasSubject,4,,,,,,,,,,formale Klassifizierung des verschlagworteten Gegestands,,,,,,,,,,,,,,,,,
Abrechnung,,de,,,hasSubject,7,,,,,,,,,,formale Klassifizierung des verschlagworteten Gegestands,,,,,,,,,,,,,,,,,
Abschrift (lit.),,de,,,hasSubject,3,,,Abschrift,lit.,,,,,,,,,,,,,,,,,,,,,,,
Abweisung,,de,,,hasSubject,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
aerial warfare,,en,,,hasSubject,959,,,,,,,,,,,,descriptive,Exclude from Vocabulary,too detailed,,,,,,,,,,,,,
Airborne Laserscan,,,de,,hasAppliedMethod,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akt,,de,,,hasSubject,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aktennotiz,,de,,,hasSubject,8,,,,,,,,,,Mediengattung,,,,,,,,,,,,,,Mediengattung,,,
Aktenübersicht,,de,,,hasSubject,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aktenvermerk,,de,,,hasSubject,201,,,,,,,,,,Mediengattung,,,,,,,,,,,,,,Mediengattung,,,
Alfred Kerr,,de,und,proper name,hasSubject,1,,,,,,,,Eigenname,,,,,,,Eigenname,,,,,,,,,,,,
amtsfreie Stadt,,en,de,,hasSubject,68,,,,,,,,,,historische Verwaltungseinheit,,,Exclude from Vocabulary,,,,,,,,,,,historische Verwaltungseinheit,,,
Andere,,de,,,hasCategory,6,48525,,,,,,,,,,,,,,,,,,,,,,,,,,
Änderung,,de,,,hasSubject,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anfrage,,de,,,hasSubject,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anklage,,de,,,hasSubject,2,,,,,,,,,,formale Klassifizierung des verschlagworteten Gegestands,,,,,,,,,,,,,,,,,
Anklage-Kundmachung,,de,,,hasSubject,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anklageschrift,,de,,,hasSubject,17,,,,,,,,,,formale Klassifizierung des verschlagworteten Gegestands,,,,,,,,,,,,,,,,,
Annotation,,en,,,hasCategory,0,139810,,,,,,,,,,,,,,,,,,,,skos:exactMatch,https://vocabs.acdh.oeaw.ac.at/archecategory/annotation,,,skos:exactMatch,https://vocabs.acdh.oeaw.ac.at/archecategory/annotation,
Annotation,,de,,,hasCategory,0,139810,,,,,,,,,,,,,,,,,,,,,,,,,,
Ansuchen,,de,,,hasSubject,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antrag,,de,,,hasSubject,160,,,,,,,,,,formale Klassifizierung des verschlagworteten Gegestands,,,,,,,,,,,,,,,,,
Anweisun,Anweisung,de,,,hasSubject,2,,,,,,,,,Typo,,,,,,,Typo,,,,,,,,,,,
Anweisung,,de,,,hasSubject,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anzeige,,de,,,hasSubject,4,,,,,,,,,,formale Klassifizierung des verschlagworteten Gegestands,,,,,,,,,,,,,,,,,
Arabic linguistics,,en,,,hasSubject,1,,,,,,,,,,,,,,,Disziplin,,,,Disziplin,,,,,Disziplin,,,
Arbeiterrätin,,de,,,hasSubject,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
archaeological database,,en,,,hasSubject,1,,,,,,,,,,,,,,,,,archaeology,"could be mapped as ""database""; archaeology is in the hasRelatedDiscipline",archaeology,,,,,archaeology,,,
Archaeological excavation,archaeological excavation,en,,,hasAppliedMethod,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
archaeological excavation,,en,,,hasAppliedMethod,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
archaeological excavation,,en,,,hasSubject,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
archaeological sites,,en,,,hasSubject,1,,archaeological site,,,,,,,,,,,,,,,,,archaeology,site/monument,,,,archaeology,,,
archäologische Ausgrabung,,de,,,hasSubject,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archäometrie,,,de,,hasAppliedMethod,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archduchy,archduchy,en,,,hasSubject,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archivrecherchen,,,de,,hasSubject,21,,Archivrecherche,,,,,,,,keine der anderen Kategorien,,,,,,,,,,,,,,,,,
Artefact,artefact,en,,,hasSubject,2,,,,,,,,,,,,,,,,,archaeology,"also an ARIADNE subject, would be good to include for future collections",archaeology,,,,,archaeology,,,
Audio,,de,,,hasCategory,0,48887,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio Visual,,en,,,hasCategory,85,48881,,,,,,,,,,,,,,,,,,,,skos:exactMatch,https://vocabs.acdh.oeaw.ac.at/archecategory/audioVisual,,,skos:exactMatch,https://vocabs.acdh.oeaw.ac.at/archecategory/audioVisual,
Audiovisuelles Medium,,de,,,hasCategory,85,48881,,,,,,,,,,,,,,,,,,,,,,,,,,
Aufforderung,,de,,,hasSubject,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aufgabeabschnitt,,de,,,hasSubject,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aufgabeschein,,de,,,hasSubject,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auflösung des Vertrags,,de,,,hasSubject,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aufnahmesession,,de,,,hasCategory,0,139811,,,,,,,,,,,,,,,,,,,,,,,,,,
Aufruf,,de,,,hasSubject,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aufstellung,,de,,,hasSubject,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auftrag,,de,,,hasSubject,27,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ausbildung,,de,,,hasSubject,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ausbleiben der Rückzahlung,,de,,,hasSubject,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ausgang unklar,,de,,,hasSubject,30,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ausgrabung,,de,,,hasAppliedMethod,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ausschuss,,de,,,hasSubject,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Außergerichtliche Erledigung,,de,,,hasSubject,48,,,,,,,,,,,,,,,,,,,,,,,,,,,
Äußerung,,de,,,hasSubject,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austrian magazines,,en,,,hasSubject,1,,Austrian magazine,,,,,,,,,,,,,,,,,,,,,,,,,
Austrian media landscape,,en,,,hasSubject,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austrian newspapers,,en,,,hasSubject,1,,Austrian newspaper,,,,,,,,,,,,,,,,,,,,,,,,,
Austrian Press Agency,,en,,,hasSubject,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austrian press releases,,en,,,hasSubject,1,,Austrian press release,,,,,,,,,,,,,,,,,,,,,,,,,
Auszug,,de,,,hasSubject,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Autonomie,,de,,,hasSubject,3,,,,,,,,,,keine der anderen Kategorien,,,,,,,,,,,,,,,,,
Bauaufnahme,,,de,,hasAppliedMethod,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bauaufnahme,,,de,,hasSubject,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beamtenorganisation,,de,,,hasSubject,20,,,,,,,,,,Organisation/Einrichtung,,,,,,,,,,,,,,,,,
Beamtenrat,,de,,,hasSubject,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beförderung,,de,,,hasSubject,16,,,,,,,,,,inhaltliche Klassifizierung des verschlagworteten Gegestands,,,,,,,,,,,,,,,,,
Beförderungsdienstfrist,,de,,,hasSubject,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bekanntgabe,,de,,,hasSubject,4,,,,,,,,,,formale Klassifizierung des verschlagworteten Gegestands,,,,,,,,,,,,,,,,,
Békessy,Imre Békessy,de,und,proper name,hasSubject,21,,,,,,,,,,,,,,,,,,,"zu speziell/nicht wiederverwendbar (originally Die Stunde, Békessy)",,,,,"zu speziell/nicht wiederverwendbar (originally Die Stunde, Békessy)",,,
Beleg (jur.),,de,,,hasSubject,13,,,Beleg,jur.,,,,,,formale Klassifizierung des verschlagworteten Gegestands,,,,,,,,,,,,,,,,,
Beleidigung,,de,,,hasSubject,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benachrichtigung,,de,,,hasSubject,108,,,,,,,,,,,,,,,,,,,,,,,,,,,
