value,value_correct,lang,lang_correct,lang_correct_comments,property,count,id,singular_form,main_part,qualifier,main_label,variants,swap_order
Druck mit handschriftliche Annotationen/Notate/Notizen,Druck mit handschriftlichen Annotationen/Notaten/Notizen,de,,,hasSubject,2,,,,,Druck mit handschriftlichen Annotationen,Druck mit handschriftlichen Notaten; Druck mit handschriftlichen Notizen,
Marken-/Namensrechtsverletzung,,de,,,hasSubject,1,,,,,Markenrechtsverletzung,Namensrechtsverletzung,
professional research/science conversation,,en,,,hasSubject,35,,,,,professional research conversation,professional science conversation,
professional research/science interview,,en,,,hasSubject,30,,,,,professional research interview,professional science interview,
professional research/science panel,,en,,,hasSubject,30,,,,,professional research panel,professional science panel,
professional research/science question-answer session,,en,,,hasSubject,30,,,,,professional research question-answer session,professional science question-answer session,
professional research/science working group discussion,,en,,,hasSubject,5,,,,,professional research working group discussion,professional science working group discussion,
Structure from Motion (SfM),,,en,,hasAppliedMethod,1,,,,,Structure from Motion,SfM,
Terrestrisches Laserscanning (TLS),terrestrisches Laserscanning (TLS),,de,,hasAppliedMethod,1,,,,,terrestrisches Laserscanning,TLS,
3D-Dokumentation,,,de,,hasAppliedMethod,1,,,,,,,
3D-Modellierung,,,de,,hasAppliedMethod,1,,,,,,,
Airborne Laserscan,,,de,,hasAppliedMethod,2,,,,,,,
amtsfreie Stadt,,en,de,,hasSubject,68,,,,,,,
Archäometrie,,,de,,hasAppliedMethod,1,,,,,,,
Archivrecherchen,,,de,,hasSubject,21,,Archivrecherche,,,,,
Bauaufnahme,,,de,,hasAppliedMethod,2,,,,,,,
Bauaufnahme,,,de,,hasSubject,1,,,,,,,
Bezirksamt,,en,de,,hasSubject,318,,,,,,,
Burgfrieden,,en,de,,hasSubject,10,,,,,,,
Byzantinische Burg,byzantinische Burg,,de,,hasSubject,21,,,,,,,
Fernerkundung,,,de,,hasAppliedMethod,2,,,,,,,
Forschungsgeschichte,,,de,,hasSubject,21,,,,,,,
Fundbearbeitung,,,de,,hasSubject,2,,,,,,,
Fundfotos,,,de,,hasSubject,1,,,,,,,
Fundzeichnungen,,,de,,hasSubject,1,,Fundzeichnung,,,,,
Geomagnetik,,,de,,hasAppliedMethod,1,,,,,,,
Geophysik,,,de,,hasAppliedMethod,1,,,,,,,
Georadar,,,de,,hasAppliedMethod,1,,,,,,,
Gericht,,en,de,,hasSubject,29,,,,,,,
Gesteinsproben,,,de,,hasSubject,1,,Gesteinsprobe,,,,,
Glacis,,en,de,,hasSubject,1,,,,,,,
Grabungstagebuch,,,de,,hasSubject,1,,,,,,,
Hofgericht,,en,de,,hasSubject,8,,,,,,,
Hofmark,,en,de,,hasSubject,6,,,,,,,
Hügelgräber,,,de,,hasSubject,21,,Hügelgrab,,,,,
Karten,,,de,,hasAppliedMethod,1,,Karte,,,,,
Karten,,,de,,hasSubject,1,,Karte,,,,,
Keramik,,,de,,hasSubject,21,,,,,,,
Kommissionsbezirk der Provinzstadt,,en,de,,hasSubject,8,,,,,,,
Kreis,,en,de,,hasSubject,63,,,,,,,
Lagervorstadt,,,de,,hasSubject,21,,,,,,,
Landeskommissariat,,en,de,,hasSubject,23,,,,,,,
Landgericht,,en,de,,hasSubject,591,,,,,,,
Legionslager,,,de,,hasSubject,21,,,,,,,
Luftbild,,,de,,hasAppliedMethod,2,,,,,,,
Magnetik,,,de,,hasSubject,1,,,,,,,
Marktgericht,,en,de,,hasSubject,2,,,,,,,
Mörtelproben,,,de,,hasSubject,1,,Mörtelprobe,,,,,
Munizipium,,,de,,hasSubject,21,,,,,,,
Nekropole,,,de,,hasSubject,21,,,,,,,
Oberflächensurvey,,,de,,hasAppliedMethod,1,,,,,,,
Pfleggericht,,en,de,,hasSubject,3,,,,,,,
Photogrammetrie,,,de,,hasAppliedMethod,3,,,,,,,
Profilzeichnungen,,,de,,hasSubject,1,,Profilzeichnung,,,,,
Satellitenbild,,,de,,hasAppliedMethod,1,,,,,,,
Schloss,,en,de,,hasSubject,1,,,,,,,
Siedlungstopographie,,,de,,hasSubject,21,,,,,,,
Stadtgericht,,en,de,,hasSubject,3,,,,,,,
Survey,,,de,,hasAppliedMethod,2,,,,,,,
Surveyartefakte,,,de,,hasSubject,21,,Surveyartefakt,,,,,
Terrestrischer Laserscan,terrestrischer Laserscan,,de,,hasAppliedMethod,1,,,,,,,
Vermessung,,,de,,hasAppliedMethod,1,,,,,,,
