value,lang,property,count,id,delete,separate,remove_trailing_space
"archaeological excavation, pottery documentation, photography",en,hasAppliedMethod,5,,,yes,
"Archaeological excavation, pottery documentation, photography.",en,hasAppliedMethod,9,,,yes,
"Berliner Tageblatt, Kerr, Wolff",de,hasSubject,9,,,yes,
"data management, data curation",en,hasAppliedMethod,12,,,yes,
"Die Stunde, Békessy",de,hasSubject,21,,,yes,
"image creation (scanning, photography)",,hasAppliedMethod,1,,,yes,
"Mappe, M.S.MAP ",de,hasSubject,2,,,yes,yes
Neolithic Greece and Anatolia,en,hasSubject,4,,,yes,
Neolithic Greece and Anatolia,,hasSubject,3,,,yes,
"OCR, XML/TEI structural and semantic annotation",,hasAppliedMethod,1,,,yes,
"pottery documentation, inked drawings",en,hasAppliedMethod,6,,,yes,
"pottery documentation, inked drawings",,hasAppliedMethod,1,,,yes,
"Schober, 15. Juli 1927",de,hasSubject,10,,,yes,
site and monument,en,hasSubject,1,,,yes,
Vereins- und Versammlungsfreiheit,de,hasSubject,2,,,yes,
XML/TEI structural and semantic annotation,,hasAppliedMethod,6,,,yes,
"VOICE, the Vienna-Oxford International Corpus of English, is a one-million-word corpus of naturally-occurring, non-scripted, face-to-face interactions carried out using English as a lingua franca (ELF), i.e. English used as a common means of communication among speakers from different first-language backgrounds. The interactions recorded and transcribed are complete speech events from different domains (educational, leisure, professional) and represent different speech event types (conversation, interview, meeting, panel, press conference, question-answer session, seminar discussion, service encounter, working group discussion, workshop discussion).",en,hasAppliedMethod,7,,yes,,
18. Jahrhundert,de,hasSubject,7,,,,
25er-Ausschuss; Fünfundzwanziger-Ausschuss,de,hasSubject,1,,,,
3d data,en,hasCategory,1324,48520,,,
3D models,,hasSubject,1,,,,
3D scanning,,hasAppliedMethod,1756,,,,
3D scanning,en,hasAppliedMethod,1,,,,
3D-Daten,de,hasCategory,1324,48520,,,
3D-Dokumentation,,hasAppliedMethod,1,,,,
3D-Modellierung,,hasAppliedMethod,1,,,,
Abfertigung,de,hasSubject,3,,,,
Abhandlung,de,hasSubject,10,,,,
Ablehnung,de,hasSubject,4,,,,
Abrechnung,de,hasSubject,7,,,,
Abschrift (lit.),de,hasSubject,3,,,,
Abweisung,de,hasSubject,3,,,,
aerial warfare,en,hasSubject,959,,,,
Airborne Laserscan,,hasAppliedMethod,2,,,,
Akt,de,hasSubject,2,,,,
Aktennotiz,de,hasSubject,8,,,,
Aktenübersicht,de,hasSubject,2,,,,
Aktenvermerk,de,hasSubject,201,,,,
Alfred Kerr,de,hasSubject,1,,,,
amtsfreie Stadt,en,hasSubject,68,,,,
Andere,de,hasCategory,6,48525,,,
