"id","value","property","lang","notes_lang","remove trailing space","correct to","variants"
751,25er-Ausschuss; Fünfundzwanziger-Ausschuss,hasSubject,de,,,"25er Ausschuss, fünfundzwanziger Ausschuss","25er-Ausschuss, fünfundzwanziger-Ausschuss"
068,3d data,hasCategory,en,,,3D data,
023,Airborne Laserscan,hasAppliedMethod,de,,,Airborne Laserscanning,
608,Anweisun,hasSubject,de,,,Anweisung,
007,"Archaeological excavation, pottery documentation, photography.",hasAppliedMethod,en,,,"archaeological excavation, pottery documentation, photography",
464,Archduchy,hasSubject,en,,,archduchy,
077,Audio Visual,hasCategory,en,,,audio visual,
382,"Berliner Tageblatt, Kerr, Wolff",hasSubject,de,,,"Berliner Tageblatt, Alfred Kerr, Theodor Wolff",
615,Bibliography,hasSubject,en,,,bibliography,
258,Byzantinische Burg,hasSubject,de,,,byzantinische Burg,
259,Canabae,hasSubject,la,,,canabae,
773,Chalcholithic sites,hasSubject,en,,,Chalcolithic sites,
569,Christlich-sozial,hasSubject,de,,,christlich-sozial,
774,City District,hasSubject,en,,,city district,
784,Co-Principality,hasSubject,en,,,co-principality,coprincipality
072,Collection,hasCategory,en,,,collection,
621,Commissariat,hasSubject,en,,,commissariat,
502,Commissary District,hasSubject,en,,,commissary district,
503,Condominium,hasSubject,en,,,condominium,
622,Confederation,hasSubject,en,,,confederation,
776,Congress files,hasSubject,en,,,congress files,
777,Congress of Aix-la-chapelle,hasSubject,en,,,Congress of Aix-la-Chapelle,
782,Congress System,hasSubject,en,,,congress system,
570,Constituent Entity,hasSubject,en,,,constituent entity,
079,Controlled Vocabulary,hasCategory,en,,,controlled vocabulary,
076,Corpus,hasCategory,en,,,corpus,
571,Country,hasSubject,en,,,country,
117,County,hasSubject,en,,,county,
151,County (administrative unit),hasSubject,en,,,county (administrative unit),
466,Crown Colony,hasSubject,en,,,Crown colony,
412,Crownland,hasSubject,en,,,Crown land,"crown land, crownland"
018,CT-scans,hasAppliedMethod,en,,,CT scans,
036,CT-scans,hasAppliedMethod,en,,,CT scans,
645,D.J.STZ ,hasSubject,und,DAACDA,yes,D.J.STZ,
069,Dataset,hasCategory,en,,,dataset,
279,deutschösterr. Regierung,hasSubject,de,,,deutschösterreichische Regierung,deutsch-österreichische Regierung
260,"Die Stunde, Békessy",hasSubject,de,,,"Die Stunde, Imre Békessy",
789,Digital Edition,hasSubject,de,,,digitale Edition,
791,Digitization,hasSubject,en,,,digitisation,
505,District,hasSubject,en,,,district,
098,District Captaincy,hasSubject,en,,,district captaincy,
657,Druck mit handschriftliche Annotationen/Notate/Notizen,hasSubject,de,,,Druck mit handschriftlichen Annotationen/Notaten/Notizen,
198,Duchy,hasSubject,en,,,duchy,
475,Eingestellt,hasSubject,de,,,eingestellt,
808,Electorate,hasSubject,en,,,electorate,
250,Empire,hasSubject,en,,,empire,
667,Eröerterung,hasSubject,de,,,Erörterung,
671,Falsche Zeugenaussage,hasSubject,de,,,falsche Zeugenaussage,
444,Fotografie (Mat.),hasSubject,de,,,Fotografie (Material),
674,Fotografie (Obj.),hasSubject,de,,,Fotografie (Objekt),
445,Free City,hasSubject,en,,,free city,
815,Gefährliche Drohung,hasSubject,de,,,gefährliche Drohung,
067,GeoJSON Dataset,hasCategory,en,,,GeoJSON dataset,
161,Governmental District,hasSubject,en,,,governmental district,
822,Graf Leo Thun-Hohenstein ,hasSubject,und,proper name,yes,Graf Leo Thun-Hohenstein,
336,Grand Duchy,hasSubject,en,,,grand duchy,
823,Grand Principality,hasSubject,en,,,grand principality,
828,High Commissariat,hasSubject,en,,,high commissariat,
681,Historical Network Research,hasSubject,en,,,historical network research,
829,History of diplomacy,hasSubject,en,,,history of diplomacy,
065,Image,hasCategory,en,,,image,
183,Imperial Circle,hasSubject,en,,,imperial circle,Imperial Circle
534,Imperial Free City,hasSubject,en,,,imperial free city,Imperial Free City
834,Inscriptions,hasSubject,en,,,inscriptions,
684,Internationales Postrecht,hasSubject,de,,,internationales Postrecht,
377,"Schober, 15. Juli 1927",hasSubject,de,,,"Johann Schober, 15. Juli 1927",
585,Juristisches Dokument,hasSubject,de,,,juristisches Dokument,
147,Kingdom,hasSubject,en,,,kingdom,
451,Klagrückziehung,hasSubject,de,,,Klagsrückziehung,
846,Landgraviate,hasSubject,en,,,landgraviate,
044,Laser Scanning,hasAppliedMethod,en,,,laser scanning,
104,lemmatization,hasSubject,en,,,lemmatisation,lemmatization
078,Lexical Resource,hasCategory,en,,,lexical resource,
375,Literarische Berichtigung,hasSubject,de,,,literarische Berichtigung,
419,Literarischer Text,hasSubject,de,,,literarischer Text,
691,Literarisches Werk,hasSubject,de,,,literarisches Werk,
697,"Mappe, M.S.MAP ",hasSubject,de,abbreviation,yes,"Mappe, M.S.MAP",
538,Margraviate,hasSubject,en,,,margraviate,margravate
860,Marken-/Namensrechtsverletzung,hasSubject,de,,,"Markenrechtsverletzung, Namensrechtsverletzung",
701,Medieval Austria,hasSubject,en,,,medieval Austria,mediaeval Austria
702,Medieval Germany,hasSubject,en,,,medieval Germany,mediaeval Germany
703,Medieval Prosopography,hasSubject,en,,,medieval prosopography,mediaeval prosopography
480,Military District,hasSubject,en,,,military district,
406,Military Frontier,hasSubject,en,,,military frontier,
864,Military Government,hasSubject,en,,,military government,
539,Mining Captaincy,hasSubject,en,,,mining captaincy,
071,Model,hasCategory,en,,,model,
541,Neolithic Greece and Anatolia,hasSubject,en,,,"Neolithic Greece, Neolithic Anatolia",
