subject;count;ARCHEsourceProperty
Fernerkundung;2;hasAppliedMethod
Pottery documentation.;2;hasAppliedMethod
Virtuelle Rekonstruktion;1;hasAppliedMethod
X-ray;1;hasAppliedMethod
pottery documentation, inked drawings;7;hasAppliedMethod
sediment analysis;1;hasAppliedMethod
Structure from Motion (SfM);1;hasAppliedMethod
geomorphological survey;1;hasAppliedMethod
Archaeological excavation, pottery documentation, photography.;9;hasAppliedMethod
Photogrammetrie;3;hasAppliedMethod
Vermessung;1;hasAppliedMethod
Karten;1;hasAppliedMethod
photography;4067;hasAppliedMethod
Laser Scanning;1;hasAppliedMethod
3D-Modellierung;1;hasAppliedMethod
CT-scans;4;hasAppliedMethod
Bauaufnahme;2;hasAppliedMethod
remote sensing;1;hasAppliedMethod
Airborne Laserscan;2;hasAppliedMethod
Georadar;1;hasAppliedMethod
Terrestrisches Laserscanning (TLS);1;hasAppliedMethod
geological survey;1;hasAppliedMethod
3D-Dokumentation;1;hasAppliedMethod
Survey;2;hasAppliedMethod
borehole sampling;1;hasAppliedMethod
tokenization;7;hasAppliedMethod
3D scanning;1757;hasAppliedMethod
Satellitenbild;1;hasAppliedMethod
Geophysik;1;hasAppliedMethod
Luftbild;2;hasAppliedMethod
lemmatization;7;hasAppliedMethod
Part of Speech Tagging;1;hasAppliedMethod
XML/TEI (P5);7;hasAppliedMethod
image creation (scanning, photography);1;hasAppliedMethod
textual annotation;1;hasAppliedMethod
part-of-speech-tagging;7;hasAppliedMethod
topographical survey;1;hasAppliedMethod
XML/TEI structural and semantic annotation;6;hasAppliedMethod
VOICE, the Vienna-Oxford International Corpus of English, is a one-million-word corpus of naturally-occurring, non-scripted, face-to-face interactions carried out using English as a lingua franca (ELF), i.e. English used as a common means of communication among speakers from different first-language backgrounds. The interactions recorded and transcribed are complete speech events from different domains (educational, leisure, professional) and represent different speech event types (conversation, interview, meeting, panel, press conference, question-answer session, seminar discussion, service encounter, working group discussion, workshop discussion).;7;hasAppliedMethod
Petrographic analysis.;3;hasAppliedMethod
data management, data curation;12;hasAppliedMethod
OCR, XML/TEI structural and semantic annotation;1;hasAppliedMethod
XML/TEI (P5) encoding;1;hasAppliedMethod
photography in public;1;hasAppliedMethod
OberflÃ¤chensurvey;1;hasAppliedMethod
ArchÃ¤ometrie;1;hasAppliedMethod
Terrestrischer Laserscan;1;hasAppliedMethod
structure from motion;4;hasAppliedMethod
archaeological excavation, pottery documentation, photography;5;hasAppliedMethod
index file creation;3;hasAppliedMethod
surface survey;1;hasAppliedMethod
SKOS data modelling;1;hasAppliedMethod
scanning;2825;hasAppliedMethod
Geomagnetik;1;hasAppliedMethod
OCR;6;hasAppliedMethod
archaeological excavation;1;hasAppliedMethod
Photography.;906;hasAppliedMethod
SKOS Simple Knowledge Organization System;2;hasAppliedMethod
TEI schema customization;6;hasAppliedMethod
3d data;;hasCategory
annotation;;hasCategory
audio visual;;hasCategory
collection;;hasCategory
computational notebook;;hasCategory
controlled vocabulary;;hasCategory
corpus;;hasCategory
dataset;;hasCategory
GeoJSON Dataset;;hasCategory
georeferenced image;;hasCategory
grammar;;hasCategory
image;;hasCategory
interactive resource;;hasCategory
lexical resource;;hasCategory
model;;hasCategory
physical object;;hasCategory
recording session;;hasCategory
service;;hasCategory
software;;hasCategory
sound;;hasCategory
speech;;hasCategory
tabular dataset;;hasCategory
textual annotation;;hasCategory
workflow;;hasCategory
XML/TEI;;hasCategory
Postkarte;44;hasSubject
Militarismus;9;hasSubject
spelling conventions;1;hasSubject
Durchschlag mit handschriftlicher Mitteilung;4;hasSubject
material culture;2;hasSubject
archaeological sites;1;hasSubject
Grabungstagebuch;1;hasSubject
Fundbearbeitung;2;hasSubject
deutschÃ¶sterr. Regierung;19;hasSubject
D.J.KLB;6;hasSubject
E.F.GEL;2;hasSubject
question-answer session;32;hasSubject
D.J.REK;4;hasSubject
Einspruch;6;hasSubject
research event;3;hasSubject
D.K.AAS;2;hasSubject
Zeugenaussage;11;hasSubject
T.F.AUS;1;hasSubject
Klage wegen Forderung;1;hasSubject
Brief;2293;hasSubject
Zeitungsartikel;354;hasSubject
Grand Principality;1;hasSubject
MÃ¶rtelproben;1;hasSubject
Mitteilung;37;hasSubject
R.F.PRE;69;hasSubject
T.F.UNA;1;hasSubject
language variation;1;hasSubject
Mitschriften;2;hasSubject
D.K.BRF;2293;hasSubject
IntertextualitÃ¤t;11;hasSubject
Commissary District;4;hasSubject
D.J.BRF;12;hasSubject
T.F.VER;1;hasSubject
D.J.BIT;22;hasSubject
PersÃ¶nlichkeitsrechtsverletzung;1;hasSubject
T.F.FZA;2;hasSubject
bibliography;7;hasSubject
Verletzung des Rechts am eigenen Bild;1;hasSubject
Originalmappe;292;hasSubject
None;4;hasSubject
D.J.PKL;100;hasSubject
D.J.DOS;5;hasSubject
transcription conventions;2;hasSubject
Personalkommission;11;hasSubject
Digitization;1;hasSubject
Literarischer Text;7;hasSubject
K.K.THE;12;hasSubject
privater Buchbesitz;126;hasSubject
E.F.SUE;1;hasSubject
Berufungsanmeldung;18;hasSubject
Vollmacht;12;hasSubject
Zahlungsauftrag;10;hasSubject
Protokoll;100;hasSubject
D.J.LEU;2;hasSubject
professional business;12;hasSubject
D.J.ANW;7;hasSubject
Mitbestimmung;53;hasSubject
T.F.UNB;1;hasSubject
multilingualism;788;hasSubject
lexical resources;1;hasSubject
D.J.VRZ;12;hasSubject
D.J.INF;4;hasSubject
Berichtigung;4;hasSubject
D.K.AGS;4;hasSubject
seminar discussion;32;hasSubject
D.J.EXB;4;hasSubject
Typoskript mit handschriftlicher Mitteilung;4;hasSubject
Anweisung;6;hasSubject
Empire;24;hasSubject
Berichtigung (Ausgang);39;hasSubject
D.J.NOT;26;hasSubject
professional organizational meeting;60;hasSubject
leisure interview;25;hasSubject
Disziplinaranzeige;2;hasSubject
Druck mit handschriftlichen Annotationen;20;hasSubject
Kingdom;79;hasSubject
archaeological database;1;hasSubject
Tonaufnahmen;2;hasSubject
D.K.TGR;31;hasSubject
Kongress von Aachen;1;hasSubject
SÃ¼hne;1;hasSubject
Pamphlet;3;hasSubject
Nachricht;6;hasSubject
D.J.ZVP;2;hasSubject
Marie Turnowsky;2;hasSubject
XML;1;hasSubject
leisure;12;hasSubject
D.J.GUT;4;hasSubject
Beamtenrat;3;hasSubject
Karl Baedeker;13;hasSubject
Imperial Free City;4;hasSubject
Congress of Verona;1;hasSubject
language choice;1;hasSubject
journalistic prose;1;hasSubject
Bundespolizeidirektion;1;hasSubject
D.J.EXA;2;hasSubject
