hasSubject;Häufigkeit;Nichtbeachtung weil;Aufnahme weil;Anmerkung
pottery fragments;11805;;;
Geschichte;2940;Disziplin;;
Grundbuch;2940;;;
historic administrative units;2650;;;
GIS;2649;;;
Brief;2293;;;
D.K.BRF;2293;zu speziell/nicht wiederverwendbar;;
Durchschlag;1581;;;
Typoskript;1348;;;
aerial warfare;959;;;
Second world war;959;Periode/Phase;;
Zwischenkriegszeit;958;Periode/Phase;;
multilingualism;788;;;
English as a lingua franca;787;;;
interaction;787;zu allgemein/nicht aussagekräftig;;
interculturality;787;;;
Druck;690;;;
Landgericht;591;;;
District Captaincy;590;;;
pottery;359;;;"Ähnlichkeit mit ""pottery fragments"""
Zeitungsartikel;354;;;
D.P.ZTA;352;zu speziell/nicht wiederverwendbar;;
Bezirksamt;318;;;
part-of-speech tagging;317;;;https://vocabs.dariah.eu/tadirah/posTagging
lemmatization;315;;;https://vocabs.dariah.eu/tadirah/lemmatizing
Mappe;296;;;
D.J.MAP;292;zu speziell/nicht wiederverwendbar;;
Originalmappe;292;;;
Manuskript;256;;;
Kopie;221;;;
Aktenvermerk;201;;;
D.J.AKV;201;zu speziell/nicht wiederverwendbar;;
Beschluss;182;;;
D.J.BSS;182;zu speziell/nicht wiederverwendbar;;
County;177;;;
Antrag;160;;;
D.J.ANT;160;zu speziell/nicht wiederverwendbar;;
word tokenization;157;;;
Typoskript mit handschriftlichen Überarbeitungen;154;;;
Durchschlag mit handschriftlichen Überarbeitungen;150;;;
Karl Kraus;141;Eigenname;;
S.F.KRA;141;zu speziell/nicht wiederverwendbar;;
C.S.PRI;135;zu speziell/nicht wiederverwendbar;;
Privatanklagedelikt;135;;;
R.F.STR;134;zu speziell/nicht wiederverwendbar;;
Strafrecht;134;Disziplin;;
Buchgeschichte;126;Disziplin;;
Geschichte des Lesens;126;Disziplin;;
privater Buchbesitz;126;;;
Durchschlag mit handschriftlichen Annotationen;120;;;
Typoskript mit handschriftlichen Annotationen;120;;;
