id;value;qualification;property;lang;notes_lang;variants;singular form
1;15. Juli 1927;;hasSubject;de;;;
2;18. Jahrhundert;;hasSubject;de;;achtzehntes Jahrhundert;
3;25er Ausschuss;;hasSubject;de;;fünfundzwanziger Ausschuss, 25er-Ausschuss, fünfundzwanziger-Ausschuss;
7;3D-Daten;;hasCategory;de;;;
8;3D-Dokumentation;;hasAppliedMethod;de;;;
9;3D-Modellierung;;hasAppliedMethod;de;;;
10;Abfertigung;;hasSubject;de;;;
11;Abhandlung;;hasSubject;de;;;
12;Ablehnung;;hasSubject;de;;;
13;Abrechnung;;hasSubject;de;;;
14;Abschrift;lit.;hasSubject;de;;;
15;Abweisung;;hasSubject;de;;;
17;Airborne Laserscanning;;hasAppliedMethod;de;;;
18;Akt;;hasSubject;de;;;
19;Aktennotiz;;hasSubject;de;;;
20;Aktenübersicht;;hasSubject;de;;;
21;Aktenvermerk;;hasSubject;de;;;
23;amtsfreie Stadt;;hasSubject;de;;;
24;Andere;;hasCategory;de;;;
25;Änderung;;hasSubject;de;;;
26;Anfrage;;hasSubject;de;;;
27;Anklage;;hasSubject;de;;;
28;Anklage-Kundmachung;;hasSubject;de;;;
29;Anklageschrift;;hasSubject;de;;;
30;Ansuchen;;hasSubject;de;;;
31;Antrag;;hasSubject;de;;;
32;Anweisung;;hasSubject;de;;;
33;Anzeige;;hasSubject;de;;;
35;Arbeiterrätin;;hasSubject;de;;;
39;Archäometrie;;hasAppliedMethod;de;;;
41;Archivrecherchen;;hasSubject;de;;;Archivrecherche
44;audiovisuelles Medium;;hasCategory;de;;;
45;Aufforderung;;hasSubject;de;;;
46;Aufgabeabschnitt;;hasSubject;de;;;
47;Aufgabeschein;;hasSubject;de;;;
48;Auflösung des Vertrags;;hasSubject;de;;;
49;Aufruf;;hasSubject;de;;;
50;Aufstellung;;hasSubject;de;;;
51;Auftrag;;hasSubject;de;;;
52;Ausbildung;;hasSubject;de;;;
53;Ausbleiben der Rückzahlung;;hasSubject;de;;;
54;Ausgang unklar;;hasSubject;de;;;
55;Ausschuss;;hasSubject;de;;;
56;Außergerichtliche Erledigung;;hasSubject;de;;;
57;Äußerung;;hasSubject;de;;;
63;Auszug;;hasSubject;de;;;
64;Autonomie;;hasSubject;de;;;
65;Bauaufnahme;;hasAppliedMethod, hasSubject;de;;;
66;Beamtenorganisation;;hasSubject;de;;;
67;Beamtenrat;;hasSubject;de;;;
68;Beförderung;;hasSubject;de;;;
69;Beförderungsdienstfrist;;hasSubject;de;;;
70;Bekanntgabe;;hasSubject;de;;;
71;Beleg;jur.;hasSubject;de;;;
72;Beleidigung;;hasSubject;de;;;
73;Benachrichtigung;;hasSubject;de;;;
74;Bericht;;hasSubject;de;;;
75;Berichtigung;Ausgang;hasSubject;de;;;
76;Berichtigung;jur.;hasSubject;de;;;
77;Berichtigung;;hasSubject;de;;;
78;Berliner Tageblatt;;hasSubject;de;;;
79;Berufung;;hasSubject;de;;;
80;Berufungsanmeldung;;hasSubject;de;;;
81;Berufungsausführung;;hasSubject;de;;;
82;Berufungsbescheid;;hasSubject;de;;;
83;Berufungsschrift;;hasSubject;de;;;
84;Bescheid;;hasSubject;de;;;
85;Beschlagnahme aufgehoben;;hasSubject;de;;;
86;Beschluss;;hasSubject;de;;;
87;Beschwerde;;hasSubject;de;;;
88;Bestätigung;;hasSubject;de;;;
89;Bestechung;;hasSubject;de;;;
90;Betriebsrat;;hasSubject;de;;;
91;Bevollmächtiger;;hasSubject;de;;;
92;Beweisabschluss;;hasSubject;de;;;
93;Beweisantrag;;hasSubject;de;;;
94;Bezirksamt;;hasSubject;de;;;
95;Bibliographie;;hasSubject;de;;;
97;Bild;;hasCategory;de;;;
98;Bildungsreform;;hasSubject;de;;;
99;Bitte;;hasSubject;de;;;
102;Brief;;hasSubject;de;;;
103;Briefausgabe;;hasSubject;de;;;
104;Briefumschlag;;hasSubject;de;;;
106;Buchgeschichte;;hasSubject;de;;;
107;Bundesländer;;hasSubject;de;;;Bundesland
108;Bundespolizeidirektion;;hasSubject;de;;;
109;Bundesverfassung;;hasSubject;de;;;
110;Bürgerkrieg;;hasSubject;de;;;
111;Burgfrieden;;hasSubject;de;;Burgfriede;
112;byzantinische Burg;;hasSubject;de;;;
125;christlich-sozial;;hasSubject;de;;;
288;Darlehen zurückbezahlt;;hasSubject;de;;;
296;Datensammlung;;hasCategory;de;;;
297;Datenset;;hasCategory;de;;;
298;Deckblatt;;hasSubject;de;;;
299;Demokratisierung;;hasSubject;de;;;
300;deutschösterreichische Regierung;;hasSubject;de;;deutsch-österreichische Regierung;
301;Die Fackel;;hasSubject;de;;;
302;Die Stunde;;hasSubject;de;;;
303;digitale Edition;;hasSubject;de;;;
305;Diplomatiegeschichte;;hasSubject;de;;;
308;Disziplinaranzeige;;hasSubject;de;;;
309;Disziplinarausschuss;;hasSubject;de;;;
310;Disziplinarrecht;;hasSubject;de;;;
311;Dossier;;hasSubject;de;;;
312;Drohung;;hasSubject;de;;;
313;Druck;;hasSubject;de;;;
314;Druck mit handschriftlichen Annotationen;;hasSubject;de;;Druck mit handschriftlichen Notaten, Druck mit handschriftlichen Notizen;
315;Druck mit handschriftlichen Überarbeitungen;;hasSubject;de;;;
317;Durchschlag;;hasSubject;de;;;
318;Durchschlag mit handschriftlichen Annotationen;;hasSubject;de;;;
319;Durchschlag mit handschriftlichen Überarbeitungen;;hasSubject;de;;;
320;Durchschlag mit handschriftlicher Mitteilung;;hasSubject;de;;;
321;Durchschlag mit sonstigen Schreibspuren;;hasSubject;de;;;
348;Edition;;hasSubject;de;;;
356;Ehrenbeleidigung;;hasSubject;de;;;
357;Ehrenerklärung;;hasSubject;de;;;
358;Ehrenkränkung;;hasSubject;de;;;
359;Eingabe;;hasSubject;de;;;
360;eingestellt;;hasSubject;de;;;
361;Einigung;;hasSubject;de;;;
362;Einspruch;;hasSubject;de;;;
366;Entente;;hasSubject;de;;;
