Name;Cleaned Version;Language
550 Geowissenschaften;Geowissenschaften;de
Alphabetisch katalogisieren;;de
Anthropologie;;de
Architektur;;de
ausgedruckt;;de
Bibliografie;;de
Computerlinguistik;;de
Digitale Edition;;de
Diskurs Analyse;Diskursanalyse;de
Diskurs Analyse - Informatik - Methoden;Diskursanalyse, Informatik, Methoden;de
Diskurs Analyse - Literatur - Informatik;Diskursanalyse, Literatur, Informatik;de
Event-Modell;;de
Forschungsdatenmanagement;;de
Geowissenschaften;;de
Geschichtswissenschaft;;de
Grafische industrie;;de
Informatiesystemen;;other
Linguistik;;de
Mediävistik;;de
Ontologie;;de
Philosophie;;de
Administration;;und
Agenda;;und
AGORA;;und
Android;;und
Aristoteles;;und
Broch, Hermann;Hermann Broch;und
digital;;und
Google;;und
HCR;;en
Hellespont;;und
HEML;;en
Internet;;und
Intro;;und
LODE;;en
OCR;;en
R;;und
Religion;;und
SEM;;en
Semantic Web;;en
supervisor: Kropač, I.H.;I. H. Kropač;und
supervisor: Thaller, Manfred;Manfred Thaller;und
TEI;;en
topic modeling;;en
university: Berlin (HU);;und
university: Bochum;;und
university: Kiel;;und
university: Tübingen;;und
Wikipedia;;und
XML;;en
academia;;en
academic;;en
academics;;en
act_Annotating;;en
act_Archiving;;en
act_Collaborating;;en
act_Communicating;;en
act_Conceptualizing;;en
act_ContentAnalysis;;en
act_Conversion;;en
act_Crowdsourcing;;en
act_DataRecognition;;en
act_Discovering;;en
act_Editing;;en
act_Identifying;;en
act_Imaging;;en
act_Modeling;;en
act_NetworkAnalysis;;en
act_Organizing;;en
act_Preservation;;en
act_Programming;;en
act_Publishing;;en
act_Query/Retrieve;Query, Retrieve;en
act_RelationalAnalysis;;en
act_Sharing;;en
act_StructuralAnalysis;;en
act_StylisticAnalysis;;en
act_Teaching/Learning;Teaching, Learning;en
act_Theorizing;;en
act_Transcription;;en
act_Visualizing;;en
act_Writing;;en
ACTIVE learning;;en
activism;;en
activity: Analyze qualitatively;;en
activity: Analyze quantitatively;;en
activity: Annotate;;en
activity: Assess;;en
activity: Authenticate;;en
activity: Collaborate;;en
activity: Collect;;en
activity: Compare;;en
activity: Conceptualize;;en
activity: Create;;en
activity: Digitize;;en
activity: Encode;;en
activity: Enrich;;en
activity: Gather;;en
activity: Interpret;;en
activity: Reflect;;en
activity: Simulate;;en
activity: Tagging;;en
activity: Visualize;;en
Address Book;;en
Administration Technological innovations;;en
africa;;en
AFRICAN American;;en
age;;en
Agriculture;;en
AIMS News;;en
Altered books;;en
american;;en
American Historical Association;;en
American Historical Review;;en
American History;;en
American Social History Project;;en
analysis;;en
Analytics;;en
AnalyzeQualitatively;;en
AnalyzeStatistically;;en
ancient;;en
animation;;en
annotation;;en
annotation system design;;en
app;;en
Applications and Critiques;;en
Art / General;Art, General;en
Arts;;en
ATTRIBUTION of authorship;;en
automatic linguistic Analysis;;en
big data;;en
biography;;en
Book;;en
Books and Literature;;en
Business Cycles;;en
Census;;en
Changes in language over time;;en
Chemistry;;en
cognates;;en
Collaboration;;en
Colleges and Universities;;en
commitment building;;en
Communication in learning and scholarship;;en
COMPUTER network resources;;en
Computers;;en
Computers / Computer Science;Computers, Computer Science;en
