Reihenfolge;Tag;Level;Synonym;dha-match;dha-match-url;wikidata-match;wikidata-match-url;
76;(Browsing);3;;;;;;
63;(Capturing);1;;;;;;
151;(Crowdsourcing);2;;;;;;
77;(Exploration);3;;;;;;
123;(Graphics Programming);3;;;;;;
68;(Parsing);3;;;;;;
69;(Transcoding);3;;;;;;
105;(Web Crawling);3;;;;;;
106;(Web Scraping);3;;;;;;
206;Abstract Thinking;;;;;;;
155;Academic Publication;3;;;;;;
185;Adding;3;Addition;;;;;
87;Aggregation;3;;;;;;
1;Analysis;1;;;;analysis;https://www.wikidata.org/wiki/Q217602;
165;Annotation;2;;Annotation;;;;
88;Archive;3;;;;;;
212;Archive;2;;;;;;
197;Associate;;;;;;;
139;Association;4;;;;;;
166;Association;3;;;;;;
168;Association;4;;;;;;
167;Audio Annotation;3;;;;;;
145;Audio Conference;3;;;;;;
111;Audio File;3;;Audio recording;;;;
48;Authorship Attribution;3;;;;;;
98;Bit Stream Preservation;4;;;;;;
231;Bit Stream Preservation;3;;;;;;
156;Blog;3;;;;;;
89;Catalogue;4;;;;;;
94;Catalogue;3;;;;;;
213;Catalogue;3;;;;;;
25;Cluster Analysis;3;;;;;;
49;Cluster Analysis;3;;;;;;
128;Collaboration;2;;;;;;
95;Collation;3;;;;;;
26;Collection;3;;;;;;
90;Collection;4;;;;;;
96;Collection;3;;;;;;
214;Collection;3;;;;;;
43;Collocation Analysis;3;;;;;;
137;Comment;2;;;;;;
144;Communication;2;;;;;;
27;Comparison;3;;;;;;
65;Compilation;3;;;;;;
207;Conceptualizing;;;;;;;
44;Concordance;3;;;;;;
2;Content Analysis;2;;;;content analysis;https://www.wikidata.org/wiki/Q653137;
138;Context;3;;;;;;
196;Contextualizing;;Context;;;;;
50;Contrastive Analysis;3;;;;;;
64;Conversion;2;;;;;;
140;Co-Occurrence;4;;;;;;
169;Co-Occurrence;4;;;;;;
198;Co-Occurrence;;;;;;;
180;Correcting;3;Correction;;;;;
186;Correcting;3;Correction;;;;;
116;Creation;1;;;;;;
187;Cropping;3;;;;;;
179;Data Cleansing;2;;;;;;
91;Data Ingest;4;;;;;;
215;Data Ingest;3;;;;;;
203;Data Mapping;;;;;;;
234;Data Migration;3;;;;data migration;https://www.wikidata.org/wiki/Q1932543;
82;Data Mining;3;;;;;;
70;Data Recognition;2;;;;;;
59;Data Visualization;3;;;;;;
181;Debugging;3;;;;;;
208;Defining;;;;;;;
99;Description;4;;;;;;
232;Description;3;;;;;;
117;Design;2;;;;;;
118;Diagramm;3;;;;;;
5;Digital Object Identifier;4;;;;;https://www.wikidata.org/wiki/Q853614;
18;Digital Object Identifier;4;;;;;;
29;Digital Object Identifier;4;;;;;;
