Tag;Tools;Projects
aesthetics of music;;2
annotation;2;4
archaeology;1;7
austrian music studies;;17
citizen science;;2
codicology;;4
corpora;3;10
corpus linguistics;2;14
critical editions of music;;4
cultural heritage;;16
cultural history;4;17
cultural studies;;1
culture studies;;1
dha conferences;;1
digital editions;4;22
digital musicology;;5
early modern studies;1;4
eLexicography;2;9
exploration space;;1
for interns;;2
georeferenced data;;2
historical language;3;15
history;2;20
history of musicology;;3
history of scholarship;;2
iconography of music;;2
language resources;9;16
language variation;1;12
linguistics;4;17
linked open data;1;11
literary studies;1;20
liturgy;;3
longterm projects;;2
media studies;1;3
medieval studies;;2
MEI;;3
metadata;2;4
morphology;;3
music philology;;1
music theatre;;1
musical sources;;10
open innovation;;4
open science;;7
paleography;;4
Projects;;8
prosopography;1;2
research infrastructures;4;14
semantic technologies;4;7
semantic web;1;2
SKOS;2;0
sociolinguistics;;1
TEI;6;25
terminology;1;0
text technology;7;5
training materials;1;11
visual culture;;1
visualization;7;12
vocabularies;3;2
writings on music;;1
Summe;80;401
