Name,Count
16th Century,2
17th Century,2
18th Century,8
19th Century,3
3D,3
address,1
Aldersbach abbey,1
algorithms,2
analyser,3
ancient greek,1
ancient history,4
annotation,13
antiquity,1
API,1
applied humanities,4
archaeology,17
architecture,2
archival description,1
archives,16
ARIADNE,1
art,3
art driven innovation,4
art history,5
art science,3
art studies,1
artificial intelligence,3
artisitc actionism,1
artistic actionism,2
artistic activism,2
astronomy,1
audio recordings,8
audio-visual,1
augmented reality,1
Austria,5
Austrian Academy of Sciences,1
automation,1
Bauforschung,1
Belarus,1
biases,1
bibliography,2
bioarchaeology,2
biodiversity,1
biographies,1
Buddhism,1
burials,1
cataloguing,2
Central Asia,1
CfA,3
CfP,4
CIDOC CRM,5
citizen innovation,1
citizen science,7
CLARIAH-AT,31
CLARIN,13
classics,2
CMC,1
CMDI,2
co-creation,1
co-creation of knowledge,2
co-design,1
code mixing,1
collaborative citymaking,1
communication,1
communication sciences,1
complete works,1
composition,1
computer sciences,1
computer vision,1
conceputal art,1
conference,6
consumption,1
contemporary history,1
content analysis,1
corpora,3
corpus,9
corpus linguistics,3
correspondence edition,2
COVID19,1
crisis intervention,1
critical speculative design,1
crowd innovation,1
crowd science,1
culinary history,4
cultural heritage,19
cultural memory,1
cultural studies,5
culture,1
DARIAH,4
data curation,1
data protection,1
data science,3
database,5
DC,1
deep learning,1
demography,1
design methods,1
design thinking,1
DHA,5
DHA conference,5
dialect data,1
dictionaries,2
dictionary,1
digital archive,4
digital art,3
digital classics,2
digital diplomatics,1
digital edition,83
digital heritage,2
digital history,1
digital humanism,1
digital humanities,15
digital infrastructure,7
digital mapping,1
digital museology,1
digital musicology,1
digital newspapers,1
digital postcards,1
digital skills,1
digital texts,1
digitisation,5
diplomatics,3
Disciplines,1
discourse analysis,2
distant reading,1
diversity studies,1
document edition,1
e-learning,1
early modern,2
early modern history,2
Early New High German,3
economics,1
edition,5
edition data,1
editor,1
education,4
English as a lingua franca,1
English literature,1
environmental humanities,2
Ephesos,1
epigraphy,2
ethics,1
ethnology,1
Europe,1
Europeana,3
Event,21
Events,4
everyday life,1
exhibition,3
experimentation,1
FOAF,1
Folia,1
food,1
Formats, Protocols, Standards,1
Forschungsmethoden,1
fragments,1
framework,1
Francesco Pipino,1
FST,1
fused lects,1
future thinking,1
gamification,1
GAMS,1
gender medicine,1
gender studies,1
geodata,7
geography,4
georeferencing,2
german studies,7
GIS,8
global ecosystem,1
go!digital,21
govenmental data,1
graph,1
habsburg-ottoman relations,1
handwritten text recognition,2
Hans Ried,2
harmonization,1
health,1
heritage preservation,1
historical geography,2
historical GIS,4
historical newspapers,3
historical postcards,1
historical texts,20
historiography,1
history,12
history of science,2
history studies,17
Holocaust Education,1
hybrid digital edition,1
Iconclass,2
ICT use,1
IIIF,3
images,2
immersive museum,1
Indic texts,1
indigenous culture,1
infrastructure,1
innovation,1
innovation network,1
inscription,1
interdisciplinary research,1
intermediality,1
inventories,1
Iran,1
Islamic manuscripts,1
Italian,1
java,1
javascript,1
keyword spotting,1
knowledge base,1
knowledge cultures,1
knowledge science,2
labour migration,1
land registers,1
language change,2
language contact,1
language didactics,2
language resource,5
language variation,1
laserscanning,1
Latin,1
law,2
lecture,39
legal history,1
lemmatizer,1
lexical resource,3
lexicography,6
libraries,5
libretto,1
libretto edition,1
licensing,3
LIDO,1
linguistics,12
linked data,4
linked open data,12
liquid museum,1
literary studies,16
LOD,6
long-term projects on cultural heritage,8
machine learning,2
machine translation,1
management,1
manuscripts,1
maps,1
Marco Polo,1
material analysis,1
material culture,1
Maximilian I,3
media,1
media studies,5
medical communication,1
medieval brain anatomy,1
medieval manuscripts,10
medieval studies,2
meeting,1
MEI,1
metadata,7
meteorology,1
methods and statistics,1
middle ages,3
Middle High German,2
minutes,1
mobility,1
Monasterium.net,2
Mongol Empire,1
morphology,2
Mozart,5
multilingual corpus,4
multispectral imaging,2
museum studies,2
museums,2
music,1
music encoding,1
music history,4
musicology,8
named entities,1
narratives,1
narratology,1
natural language processing,1
NER,4
network analysis,4
neural networks,1
news,2
newspapers,1
NLP,17
nuns and monks,1
OAI-PMH,1
OAIS,1
OCR,3
ontology,6
open access,9
open design platform,1
open innovation,7
open science,1
open source,6
oriental studies,6
OWL,1
pandemic,1
paratexts,1
parliament,1
parser,1
PARTHENOS,1
participation,3
participatory methods,1
pdf,1
periodicals,3
perl,1
philosophy,1
photographs,2
php,1
platform,1
poetry,1
political science,2
politics,1
pos-tagger,1
PoS-tagging,1
postcards,1
pottery,2
pragmatics,1
Prakrit,1
presentation,2
programming,1
Project,1
propaganda,1
prosopography,1
protocols,1
prototyping,1
psychology,1
python,3
query language,1
radio,1
RDF,9
religion,1
repository,12
research ethics,1
research infrastructure,12
resilience,1
resources,2
responsibility,1
robotics,1
roman,1
royal libraries,1
Russia,1
Russian and Ukrainian,1
Sanskrit,1
schema mapping,1
science education,1
scientific heritage,2
SDGs,3
search service,9
semantic interoperability,1
semantic representation,3
semantic resource,1
semantic technologies,1
semantic web,16
semantic web vocabularies,1
sentiment analysis,1
server-side,1
SKOS,2
social and economoc history,1
social innovation,1
social network analysis,2
social sciences,1
sociolinguistics,1
South Asia,1
Southern Ukraine,1
Sozialgeschichte,1
SPARQL,1
spoken corpus,2
SQL,1
Stadtmodell,1
storytelling,1
summer school,3
sustainability transition,1
tagger,1
tagging,2
taxonomy,3
TEI,56
TEI-XML,5
text encoding,3
text mining,3
text recognition,2
textual scholarship,1
theatre studies,1
theology,1
Tibet,1
tokenizer,1
tools,1
Tools & Services,2
topic-modeling,1
Topics,1
training,4
transcription,9
transdicisplinarity,1
Transkribus,6
travelogues,1
treebank,1
tutorials,1
Type,1
t_organisation,20
t_reading,35
t_resource,67
t_software,11
UK,1
Ukraine,1
urban studies,1
urbanism,1
Urbanistik,1
video recordings,5
virtual reality,2
virtual research environment,4
virtuelle Rekonstruktion,1
visual media,1
visualization,12
vocabulary,7
vocabulary dictionaries,1
WebGIS,2
Wikidata,2
Wirtschaftsgeschichte,1
Wissenschaftskommunikation,2
workshop,17
written newspapers,1
xml-editor,1
Yemen,1
Yugoslavia,1
