Original,Normalized
#broken_attachments,#broken_attachments
#nosource,#nosource
'2001: A Space Odyssey' (film),2001: a space odyssey (film)
'American Historical Review',american historical review
'History Matters',history matters
'Journal of American History',journal of american history
'Outline of American History',outline of american history
'Whole Earth Catalog',whole earth catalog
'Wikipedia',wikipedia
(teil-)automatisch generiert,(teil-)automatisch generiert
/unread,unread
1066-1485,1066-1485
1922,1922
2011,2011
550 Geowissenschaften,550 geowissenschaften
_TODO,todo
abe,abe
academia,academia
academic,academic
academics,academics
Acceso,acceso
act_Annotating,annotating
act_Archiving,archiving
act_Collaborating,collaborating
act_Communicating,communicating
act_Conceptualizing,conceptualizing
act_ContentAnalysis,contentanalysis
act_Conversion,conversion
act_Crowdsourcing,crowdsourcing
act_DataRecognition,datarecognition
act_Discovering,discovering
act_Editing,editing
act_Identifying,identifying
act_Imaging,imaging
act_Modeling,modeling
act_NetworkAnalysis,networkanalysis
act_Organizing,organizing
act_Preservation,preservation
act_Programming,programming
act_Publishing,publishing
act_Query/Retrieve,query/retrieve
act_RelationalAnalysis,relationalanalysis
act_Sharing,sharing
act_StructuralAnalysis,structuralanalysis
act_StylisticAnalysis,stylisticanalysis
act_Teaching/Learning,teaching/learning
act_Theorizing,theorizing
act_Transcription,transcription
act_Visualizing,visualizing
act_Writing,writing
ACTIVE learning,active learning
activism,activism
activity: Analyze qualitatively,analyze qualitatively
activity: Analyze quantitatively,analyze quantitatively
Activity: Annotate,annotate
activity: Assess,assess
activity: Authenticate,authenticate
activity: Collaborate,collaborate
activity: Collect,collect
activity: Compare,compare
activity: Conceptualize,conceptualize
activity: Create,create
activity: Digitize,digitize
activity: Encode,encode
activity: Enrich,enrich
activity: Gather,gather
activity: Interpret,interpret
activity: Reflect,reflect
activity: Simulate,simulate
activity: Tagging,tagging
activity: Visualize,visualize
adafruit,adafruit
adam,adam
Address Book,address book
Administration,administration
Administration Technological innovations,administration technological innovations
africa,africa
AFRICAN American,african american
age,age
Agenda,agenda
AGORA,agora
Agriculture,agriculture
ailion,ailion
AIMS News,aims news
Algorithm design and analysis,algorithm design and analysis
Alphabetisch katalogisieren,alphabetisch katalogisieren
Altered books,altered books
american,american
American Historical Association,american historical association
American history,american history
American Social History Project,american social history project
Amerikaanse letterkunde,amerikaanse letterkunde
Analyse des données,analyse des données
analysis,analysis
Analytics,analytics
AnalyzeQualitatively,analyzequalitatively
AnalyzeStatistically,analyzestatistically
ancient,ancient
Android,android
animation,animation
anno 1900-1999,anno 1900-1999
annotation,annotation
annotation system design,annotation system design
Anthony,anthony
Anthropologie,anthropologie
app,app
Applications and Critiques,applications and critiques
Apportionment,apportionment
arch,arch
archaeology,archaeology
archetype,archetype
Archimedes,archimedes
architect,architect
architectural history,architectural history
architecture,architecture
"Architektur,","architektur,"
archival studies,archival studies
Archivists,archivists
Archäologie,archäologie
Aristoteles,aristoteles
Art / General,art / general
Artifacts,artifacts
Artificial intelligence,artificial intelligence
Artists' books,artists books
Arts,arts
Aspect Analysis,aspect analysis
atlanta,atlanta
Attitudes,attitudes
ATTRIBUTION of authorship,attribution of authorship
Audiences,audiences
aufbruch,aufbruch
ausgedruckt,ausgedruckt
"Austen, Jane - Technique","austen, jane - technique"
Australian literature,australian literature
Authority,authority
AUTHORSHIP,authorship
AutoCAD/AutoLISP,autocad/autolisp
automated data collection,automated data collection
automatic linguistic Analysis,automatic linguistic analysis
Automation,automation
award,award
Awareness,awareness
"Ayers, Edward L.","ayers, edward l."
Babel,babel
Baker-Nord,baker-nord
beginning,beginning
Bellissimo,bellissimo
"Berners-Lee, Tim","berners-lee, tim"
bestiaire,bestiaire
Bible,bible
Bibliografie,bibliografie
Bibliographical control,bibliographical control
Bibliography Methodology,bibliography methodology
"Bibliography Theory, methods, etc","bibliography theory, methods, etc"
Bibliotecas Digitales,bibliotecas digitales
big data,big data
biography,biography
Biology,biology
blog,blog
Boekgeschiedenis,boekgeschiedenis
Bomb,bomb
Book,book
Book lists,book lists
book reviews,book reviews
Books and Literature,books and literature
Books in art,books in art
brain pickings,brain pickings
"Brand, Stewart","brand, stewart"
Brewster,brewster
British,british
British Library,british library
British Museum,british museum
"Broch, Hermann","broch, hermann"
Brooklyn (NYC),brooklyn (nyc)
browsing,browsing
Brute Force Method,brute force method
building,building
"Bush, Vannevar","bush, vannevar"
Bushwick (NYC),bushwick (nyc)
Business,business
Business & Economics / Commerce,business & economics / commerce
Business & Economics / Statistics,business & economics / statistics
Business Case,business case
Business Cycles,business cycles
Business Process,business process
Byrd,byrd
Byzantine,byzantine
CAAD,caad
cached resources,cached resources
California,california
California (Southern),california (southern)
Campaign Finance,campaign finance
Canada,canada
Canadian Century Research Infrastructure,canadian century research infrastructure
CarpettaBlu2006,carpettablu2006
Casa Sarmento,casa sarmento
Case,case
case studies,case studies
categorization,categorization
catolog,catolog
Census,census
Centre for Digital Humanities,centre for digital humanities
Chancery Letters,chancery letters
Changes in language over time,changes in language over time
Character discourse,character discourse
Characters and characteristics in literature,characters and characteristics in literature
"Chaucer, Geoffrey","chaucer, geoffrey"
Chemistry,chemistry
Christian,christian
CIDOC-CRM,cidoc-crm
Circle,circle
citation,citation
city,city
City Planning,city planning
Civil War,civil war
Civilization,civilization
"Civilization, Medieval, in literature","civilization, medieval, in literature"
Claire Warwick,claire warwick
Classics,classics
Climate change,climate change
Clinical Document Architecture,clinical document architecture
"Clinton, Bill","clinton, bill"
clipping,clipping
cloudfab,cloudfab
cluster mining,cluster mining
Clustering,clustering
Clustering algorithms,clustering algorithms
co-located groups,co-located groups
