Cleaned_Version (new),Tag (existent),Other variants (= other existent tags),German variants (already existent),Count,German translation,Broader concept,Susanne Cat 1,Susanne Cat 2,Susanne Cat 3,Nina Cat 1,Nina Cat 2,Martin Cat 1,Martin Cat 2,Martin Cat 3,not ger or eng,delete,delete_textual,split,new_1,cat_1,new_2,cat_2,new_3,cat_3,new_4,cat_4,new_5,cat_5,new_6,cat_6
(semi-)automated generated,(teil-)automatisch generiert,,(teil-)automatisch generiert,4,(teil-)automatisch generiert,,,,,,,,,,,yes,,,,,,,,,,,,,,
,#nosource,,,4,,,object-type,resource/tool ,topic,,,,,,,yes,,,,,,,,,,,,,,
,1066-1485,,,1,1066-1485,,time period,,,,,,,,,,,,,,,,,,,,,,,
,1922,,,1,1922,,time period,,,,,,,,,,yes,,,,,,,,,,,,,
,2001: a space odyssey (film),,,1,,,entity (product),topic,,entity (product),,,,,,yes,,,,,,,,,,,,,,
,2011,,,1,2011,,time period,,,,,,,,,,yes,,,,,,,,,,,,,
,3d,,,1,3D,,topic,,,,,,,,,,,,,,,,,,,,,,,
geosciences,550 geowissenschaften,earth sciences,,1,,,multiple tags ,discipline,,,,,,,,,,,,,,,,,,,,,,
,abe,,,1,,,not categorizable ,entity (product) ,entity (person),entity (person),,,,,,yes,,,,,,,,,,,,,,
,academia,,,4,akademische Welt,,,,,,,,,,,,,,,,,,,,,,,,,
,academic,academics; scholars,,1,akademisch,,entity (person),,,,,,,,,,,,,,,,,,,,,,,
academic,academics,scholars,,3,Akademiker,,entity (person),,,,,entity (person),,,,,,,,,,,,,,,,,,
accessing,acceso,,,1,Zugriff,,,,,,,,,,yes,,,,,,,,,,,,,,,
,active learning,,,1,aktives Lernen,,method/activity,,,,,,,,,,,,,,,,,,,,,,,
,activism,,,1,Aktivismus,,,,,,,,,,,,,,,,,,,,,,,,,
,adafruit,,,1,,,entity (institution/organisation/brand),,,entity (institution/organisation/brand),,,,,,yes,,,,,,,,,,,,,,
,adam,,,1,Adam,,entity (person),,,entity (person),,entity (person),,,,yes,,,,,,,,,,,,,,
,address book,,,1,Adressbuch,,object type,,,,,,,,,,,,,,,,,,,,,,,
,administration,,,1,"Administration, Verwaltung",,entity (institution/organisation/brand),,,,,,,,,,,,,,,,,,,,,,,
administration technological innovation,administration technological innovations,,,1,Administration technologischer Innovationen,,,,,,,,,,,,,yes,administration,,technological innovation,,,,,,,,,
,advocating,,,24,Befürwortung,,method/activity,,,,,,,,,,,,,,,,,,,,,,,
,africa,,,1,Afrika,,entity (place),,,entity (place),,entity (place),,,,yes,,,,,,,,,,,,,,
,african american,,,1,"Afroamerikaner*in, afroamerikanisch",,entity (person),,language,,,entity (person),,,,,,,,,,,,,,,,,,
,age,,,1,"Alter, Zeitalter",,time period,,,,,,,,,,,,,,,,,,,,,,,
,agenda,,,1,Agenda,,topic,,,,,,,,,,yes,,,,,,,,,,,,,
,agora,,,5,,,entity (place),,,entity (place),,entity (place),,,,yes,,,,,,,,,,,,,,
,agriculture,,,1,Landwirtschaft,,topic,,,,,,,,,,,,,,,,,,,,,,,
,ailion,,,1,,,entity (person),,,,,,,,,yes,,,,,,,,,,,,,,
,aims news,,,1,AIMS News,,entity (product),,,,,,,,,,,,,,,,,,,,,,,
,àlex,,,1,Àlex,,entity (person),,,,,,,,yes,yes,,,,,,,,,,,,,,
,algorithm design and analysis,,,1,Algorithmendesign und Algorithmenanalyse,,method/activity,,,,,,,,,,,yes,algorithm design,,algorithm analysis,,,,,,,,,
cataloguing alphabetically,alphabetisch katalogisieren,,,1,alphabetisch katalogisieren,,method/activity,,,,,,,,,,,,,,,,,,,,,,,
,altered books,,,1,abgeänderte Bücher,,object-type,,,,,,,,,,yes,,,,,,,,,,,,,
,american,,,1,"Amerikaner*in, amerikanisch",,entity (person),,language,,,entity (place),,,,,,,,,,,,,,,,,,
,american historical association,,,1,amerikanisch-historische Vereinigung,,entity (institution/organisation/brand),,,entity (institution/organisation/brand),,entity (institution/organisation/brand),,,,yes,,,,,,,,,,,,,,
,american historical review,,,1,,,,,,entity (product),,entity (institution/organisation/brand),,,,yes,,,,,,,,,,,,,,
,american history,,,4,amerikanische Geschichte,,topic,discipline,,,,,,,,,,,,,,,,,,,,,,
,american social history project,,,1,amerikanisches sozialgeschichtliches Projekt,,project,,,,,entity (project),,,,yes,,,,,,,,,,,,,,
american literature,amerikaanse letterkunde,,,2,,,topic,,,,,,,,yes,,,,,,,,,,,,,,,
data analysis,analyse des données,,,1,,,,,,,,,,,yes,,,,,,,,,,,,,,,
analysing,analysis,,,75,analysieren,,,,,,,,,,,,,,,,,,,,,,,,,
,analytics,,,1,Analytik,,,,,,,,,,,,,,,,,,,,,,,,,
analysing qualitatively,analyze qualitatively,analyzequalitatively,,8,qualitativ analysieren,,,,,,,,,,,,,,,,,,,,,,,,,
analysing quantitatively,analyze quantitatively,,,9,quantitativ analysieren,,,,,,,,,,,,,,,,,,,,,,,,,
,ancient,,,1,altertümlich,,time period,,,,,,,,,,,,,,,,,,,,,,,
,android,,,1,Android,,resource/tool,entity (product),,,,entity (institution/organisation/brand),,,,yes,,,,,,,,,,,,,,
animating,animation,,,1,"animieren, einen Trickfilm herstellen",,object-type,entity (product),,,,,,,,,,,,,,,,,,,,,,
,anno 1900-1999,,,1,anno 1900-1999,,time period,,,,,,,,,,,,,,,,,,,,,,,
annotating,annotation,annotating; annotate,,3,annotieren,,,,,,,,,,,,,,,,,,,,,,,,,
,annotation system design,,,1,Entwurf eines Annotationssystems,,,,,,,,,,,,,yes,annotation system,,system design,,annotation design,,,,,,,
,anthony,,,1,Anthony,,entity (person),,,,,entity (person),,,,yes,,,,,,,,,,,,,,
,anthropology,,anthropologie,1,Anthropologie,,discipline,topic,,,,,,,,,,,,,,,,,,,,,,
,anyobject,,,30,,,method/activity,,,,,,,,,,,,,,,,,,,,,,,
,app,,,1,"App, Anwendung",,entity (product),resource/tool,topic,,,,,,,,,,,,,,,,,,,,,
application and critique,applications and critiques,,,1,Anwendung und Kritiken,,,,,,,,,,,,,yes,application,,critique,,,,,,,,,
,apportionment,,,1,Zuteilung,,method/activity,topic,,,,,,,,,,,,,,,,,,,,,,
,arch,,,1,Bogen,,object-type,topic,,,,,,,,,yes,,,,,,,,,,,,,
archaelogical site,archaeologicalsites,,,1,archäologische Fundstätte,,,,,,,,,,,,,,,,,,,,,,,,,
,archaeology,,archäologie,3,Archäologie,,discipline,,,,,,,,,,,,,,,,,,,,,,,
,archetype,,,1,Archetypus,,,,,,,,,,,,,,,,,,,,,,,,,
,archimedes,,,1,Archimedes,,entity (person),,,entity (person),,entity (person),,,,yes,,,,,,,,,,,,,,
,architect,,,1,Architekt,,entity (person),,,,,entity (person),,,,,,,,,,,,,,,,,,
,architectural history,,,1,Architekturgeschichte,,discipline,topic,,,,,,,,,,,,,,,,,,,,,,
,architecture,,"architektur,",6,Architektur,,discipline,topic,,,,,,,,,,,,,,,,,,,,,,
,archival studies,,,1,Archivstudien,,discipline,,,,,,,,,,,, ,,,,,,,,,,,
archive,archives,,,23,Archiv,,entity (place),entity (institution/organisation/brand),,,,entity (place),,,,,,,,,,,,,,,,,,
,archiving,,,8,archivieren,,method/activity,,,,,,,,,,,,,,,,,,,,,,,
archivist,archivists,,,2,Archivar,,entity (person),,,,,entity (person),,,,,,,,,,,,,,,,,,
,aristoteles,,,1,Aristoteles,,entity (person),,,entity (person),,entity (person),,,,yes,,,,,,,,,,,,,,
art,art / general,arts; the arts,kunst,5,Kunst / allgemein,,topic,,,,,,,,,,,,,,,,,,,,,,,
,art history,,,1,Kunstgeschichte,,discipline,topic,,,,,,,,,,,,,,,,,,,,,,
artifact,artefacts,artifacts,,19,Artefakt,,object-type,,,,,,,,,,,,,,,,,,,,,,,
,artificial intelligence,,,1,künstliche Intelligenz,,topic,,,,,,,,,,,,,,,,,,,,,,,
artist book,artists books,,,1,Künstlerbuch,,object-type,entity (product),,,,,,,,,,,,,,,,,,,,,,
art,arts,the arts,,2,Kunst,,topic,,,,,,,,,,,,,,,,,,,,,,,
,aspect analysis,,,1,Aspektanalyse,,method/activity,,,,,,,,,,,,,,,,,,,,,,,
,assessing,assess,,125,bewerten,,method/activity,,,,,,,,,,,,,,,,,,,,,,,
aesthetic,ästhetik,,,1,Ästhetik,,topic,,,,,,,,,,,,,,,,,,,,,,,
,atlanta,,,2,Atlanta,,entity (place),,,entity (place),,entity (place),,,,yes,,,,,,,,,,,,,,
attitude,attitudes,,,1,Einstellung,,,,,,,,,,,,,,,,,,,,,,,,,
authorship attribution,attribution of authorship,,,1,Zuschreibung der Autorenschaft,,method/activity,topic,,,,,,,,,,,,,,,,,,,,,,
audience,audiences,,,1,Publikum,,entity (person),,,,,,entity (person),,,,,,,,,,,,,,,,,
,audio,,,1,Audio,,entity (person),,,,,,,,,,,,,,,,,,,,,,,
,aufbruch,,,1,Aufbruch,,topic,entity (product) ,,,,,,,,,yes,,,,,,,,,,,,,
,augsburg,,,1,Augsburg,,entity (place),,,entity (place),,entity (place),,,,yes,,,,,,,,,,,,,,
printed,ausgedruckt,,,9,ausgedruckt,,not categorizable ,,,,,,,,,yes,,,,,,,,,,,,,,
jane austen technique,"austen, jane - technique",,,1,Verfahren Jane Austens,,method/activity,multiple tags,,,,entity (person),,,,,,,,,,,,,,,,,,
,australian literature,,,1,australische Literatur,,topic,,,,,,,,,,,,,,,,,,,,,,,
authenticating,authenticate,,,1,authentifizieren,,method/activity,,,,,,,,,,,,,,,,,,,,,,,
,authority,,,1,Autorität,,,,,,,,,,,,,,,,,,,,,,,,,
,authorship,,,1,Autorenschaft,,topic,,,,,,,,,,,,,,,,,,,,,,,
,autocad/autolisp,,,1,,,resource/tool,,,,,,,,,,,yes,autocad,,autolisp,,,,,,,,,
,automated data collection,,,1,automatische Datenerfassung,,,,,,,,,,,,,yes,automating,,data collection,,,,,,,,,
,automatic linguistic analysis,,,1,automatische linguistische Analyse,,method/activity,,,,,,,,,,,yes,automating,,linguistic analysis,,,,,,,,,
automating,automation,,,1,automatisieren,,,,,,,,,,,,,,,,,,,,,,,,,
,award,,,1,Auszeichnung,,object-type,entity (product),,,,,,,,,,,,,,,,,,,,,,
,awareness,,,1,Bewusstsein,,topic,,,,,,,,,,,,,,,,,,,,,,,
edward l. ayers,"ayers, edward l.",,,1,Edward Ayers I.,,entity (person),,,entity (person),,entity (person),,,,yes,,,,,,,,,,,,,,
,babel,,,1,Babel,,entity (place),,,entity (place),,,,,,yes,,,,,,,,,,,,,,
,baker-nord,,,1,Baker-Nord,,,,,entity (institution/organisation/brand),,entity (institution/organisation/brand),,,,yes,,,,,,,,,,,,,,
,beginning,,,1,Anfang,,,,,,,,,,,,yes,,,,,,,,,,,,,
beautiful,bellissimo,,,1,,,,,,,,,,,yes,,yes,,,,,,,,,,,,,
hu berlin,berlin (hu),,,2,HU Berlin,,entity (place),entity (institution/organisation/brand),,entity (place),,entity (place),,,,yes,,,,,,,,,,,,,,
tu berlin,berlin (tu),,,1,TU Berlin,,entity (place),entity (institution/organisation/brand),,entity (institution/organisation/brand),,entity (place),entity (institution/organisation/brand),,,yes,,,,,,,,,,,,,,
tim berners-lee,"berners-lee, tim",,,1,Tim Berners-Lee,,entity (person),,,entity (person),,entity (person),,,,yes,,,,,,,,,,,,,,
bestiary,bestiaire,,,1,Bestiarium,,entity (person),,,,,,,,yes,,,,,,,,,,,,,,,
,bible,,,1,Bibel,,entity (product),,,entity (product),,entity (product),,,,yes,,,,,,,,,,,,,,
bibliography,bibliografie,,,4,Bibliografie,,,,,,,,,,,,,,,,,,,,,,,,,
,bibliographical control,,,1,bibliografische Kontrolle,,,,,,,,,,,,,,,,,,,,,,,,,
